Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1897,-5,-76,190
12,1873,-5,-76,190
23,1885,-5,-76,189
33,1888,-5,-77,189
43,1902,-5,-77,189
52,1878,-5,-77,189
63,1880,-5,-77,189
73,1876,-5,-77,189
83,1879,-4,-77,189
93,1887,-4,-77,189
103,1881,-5,-77,189
113,1883,-5,-77,190
123,1887,-5,-77,189
133,1887,-5,-78,189
143,1874,-4,-78,189
153,1868,-4,-78,189
163,1887,-4,-78,189
173,1912,-4,-78,189
183,1873,-4,-78,189
193,1874,-4,-78,189
203,1879,-4,-78,189
213,2166,-4,-78,189
223,1920,-4,-78,189
233,1896,-3,-78,189
243,1878,-3,-79,189
253,1951,-3,-79,188
262,1935,-3,-79,188
273,1886,-3,-79,188
283,1882,-3,-79,188
293,2215,-3,-79,188
302,2399,-3,-79,188
313,1911,-3,-79,188
323,1994,-4,-79,188
333,2205,-4,-79,189
343,2520,-4,-79,189
353,1415,-4,-80,189
363,2368,-4,-80,189
373,1974,-4,-80,190
383,3395,-4,-80,190
393,2223,-4,-80,190
403,2808,-4,-80,190
413,2853,-3,-80,190
423,3199,-4,-80,191
433,3727,-3,-80,191
443,3728,-4,-80,191
453,3764,-4,-80,192
463,3762,-4,-80,192
473,3775,-3,-80,192
483,3616,-3,-80,192
493,3763,-3,-81,191
503,3759,-2,-81,191
512,3752,-2,-81,191
523,3784,-2,-81,191
533,3772,-3,-81,192
543,3741,-3,-81,192
552,3734,-4,-81,193
563,3779,-5,-81,193
573,3779,-6,-81,194
583,3760,-6,-81,195
593,3261,-7,-81,196
603,3247,-9,-81,197
613,3767,-9,-81,197
623,3778,-11,-81,200
633,3750,-12,-81,200
643,3469,-14,-81,202
653,3767,-16,-81,204
663,3731,-17,-81,205
673,3324,-20,-81,208
683,3773,-21,-81,209
693,3176,-23,-80,211
703,3730,-26,-81,214
713,3756,-26,-80,214
723,3741,-30,-80,218
733,3768,-31,-80,218
743,3726,-31,-80,219
753,3626,-35,-80,222
762,3753,-36,-80,224
773,3752,-39,-80,226
783,3772,-40,-80,228
793,3620,-40,-80,227
802,3775,-41,-80,228
813,3768,-41,-80,228
823,3774,-42,-79,229
833,3782,-44,-79,231
843,3758,-45,-80,232
853,3230,-47,-79,233
863,3757,-47,-79,233
873,3779,-47,-79,233
883,3763,-47,-79,233
893,3729,-46,-79,232
903,3649,-47,-79,233
913,3320,-48,-79,234
923,3443,-47,-79,233
933,3771,-49,-79,234
943,3730,-48,-79,233
