Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1890,-39,-75,207
13,1890,-39,-75,207
23,1892,-39,-75,207
33,1890,-39,-76,207
43,1899,-39,-76,207
53,1899,-39,-76,207
63,1902,-39,-76,207
73,1879,-39,-76,207
83,1904,-39,-76,207
93,2010,-39,-76,207
103,1895,-38,-76,207
113,1887,-38,-76,207
123,1916,-39,-76,207
133,1926,-38,-77,207
143,1907,-38,-77,207
153,1912,-38,-77,207
163,1928,-38,-77,207
173,1886,-38,-77,207
183,1894,-38,-77,207
193,1895,-38,-77,207
202,1903,-38,-77,207
213,2154,-37,-77,207
223,1899,-37,-77,207
233,1907,-37,-78,207
243,1904,-37,-78,206
253,2044,-37,-78,206
263,1894,-37,-78,206
273,1888,-36,-78,206
283,1903,-36,-78,206
293,2188,-36,-78,206
303,1888,-36,-78,206
313,1891,-36,-78,206
323,2006,-37,-79,206
333,2529,-37,-79,206
343,2526,-37,-79,206
353,1927,-37,-79,206
363,1940,-37,-79,207
373,3140,-37,-79,207
383,1908,-37,-79,207
393,1920,-36,-79,207
403,1916,-36,-79,207
413,2742,-36,-79,207
423,1895,-36,-79,207
433,1898,-35,-79,206
443,2016,-35,-80,206
452,2006,-35,-80,206
463,2258,-34,-80,206
473,1912,-34,-80,205
483,1914,-34,-80,205
493,2616,-34,-80,205
503,1905,-33,-80,204
513,1906,-34,-80,205
523,1884,-33,-80,204
533,2624,-34,-81,204
543,1910,-35,-81,205
553,1908,-34,-81,205
563,1837,-34,-81,205
573,2000,-34,-81,204
583,2045,-33,-81,203
593,1925,-33,-81,204
603,1924,-32,-81,203
613,2759,-32,-81,203
623,1887,-32,-81,203
633,1881,-30,-81,201
643,1902,-31,-81,202
653,2316,-32,-81,203
663,1900,-32,-81,203
673,1908,-32,-81,203
683,2099,-31,-81,202
693,2796,-30,-81,201
702,2388,-31,-81,202
713,1834,-31,-82,202
723,1933,-32,-82,202
733,2534,-32,-82,203
743,2590,-31,-82,202
753,1896,-29,-81,200
763,2395,-29,-81,199
773,2753,-29,-82,200
783,2563,-29,-82,199
793,1861,-29,-82,200
803,2398,-29,-82,200
813,2161,-28,-82,199
823,2602,-29,-82,199
833,1899,-28,-82,199
843,2256,-28,-82,199
853,2244,-28,-82,199
863,1993,-27,-82,198
873,2040,-26,-82,197
883,2268,-26,-82,196
893,2354,-26,-82,196
903,1956,-27,-82,197
913,2102,-27,-82,198
923,2047,-28,-82,199
933,2493,-27,-82,197
943,2542,-27,-83,197
952,1903,-27,-83,198
963,2642,-26,-82,197
973,2635,-26,-83,197
983,1885,-26,-82,196
993,1959,-26,-83,197
1003,2008,-26,-83,196
1013,2361,-26,-83,197
1023,2415,-27,-83,198
1033,1897,-26,-83,197
1043,1975,-27,-83,198
1053,2544,-26,-83,197
1063,1906,-26,-83,197
1073,1889,-26,-83,197
1083,2548,-25,-83,195
1093,2616,-25,-83,196
1103,1952,-24,-83,195
1113,1979,-25,-83,196
1123,2025,-25,-83,196
1133,2349,-24,-83,195
1143,2270,-24,-83,195
1153,1873,-23,-83,194
1163,1988,-24,-83,195
1173,2536,-24,-83,195
1183,2480,-23,-83,194
1193,1898,-23,-83,194
1202,1918,-23,-83,193
1213,2614,-23,-83,194
1223,1895,-23,-83,194
1233,2700,-23,-83,194
1243,1902,-23,-83,194
1253,2660,-23,-83,194
1263,1899,-23,-83,194
1273,1904,-22,-83,193
1283,1892,-22,-83,193
1293,1908,-23,-83,193
1303,1900,-22,-83,192
1313,1898,-21,-83,192
1323,1901,-21,-83,192
1333,2506,-21,-83,192
1343,1922,-21,-83,192
1353,1984,-20,-83,191
1363,1910,-20,-84,191
1373,2394,-20,-83,191
1383,1980,-21,-84,191
1393,2048,-21,-84,191
1403,1906,-20,-84,191
1413,2146,-20,-84,191
1423,2614,-20,-84,190
1433,1879,-20,-84,191
1443,1877,-20,-84,190
1452,1925,-20,-84,190
1463,2408,-20,-84,191
1473,1919,-19,-84,190
1483,1907,-19,-84,189
1493,1914,-18,-84,189
1503,2472,-18,-84,189
1513,1909,-18,-84,189
1523,1904,-18,-84,189
1533,1908,-18,-84,188
1543,2433,-18,-84,188
1553,1909,-18,-84,188
1563,1915,-18,-84,188
1573,1926,-18,-84,188
1583,2495,-18,-84,189
1593,1907,-18,-84,188
1603,1917,-18,-84,189
1613,1922,-18,-84,188
1623,2461,-18,-84,188
1633,1905,-18,-84,188
1643,1895,-16,-84,187
1653,1884,-16,-84,186
1663,2482,-16,-84,186
1673,1895,-16,-84,186
1683,1905,-17,-84,187
1693,2008,-16,-84,187
1702,2119,-16,-84,187
1713,1892,-16,-84,186
1723,1918,-16,-84,186
1733,2005,-16,-84,186
1743,1977,-14,-84,184
1753,2256,-15,-84,185
1763,1887,-14,-84,185
1773,2213,-14,-84,184
1783,2122,-15,-85,186
1793,1902,-15,-85,185
1803,1903,-15,-85,185
1813,1997,-14,-85,184
1823,2031,-13,-85,183
1833,1894,-13,-85,183
1843,1937,-13,-85,183
1853,1957,-13,-85,183
1863,1963,-13,-85,183
1873,2394,-12,-85,182
1883,1907,-11,-85,182
1893,1904,-10,-84,181
1903,1919,-11,-85,181
1913,2420,-10,-85,181
1923,1910,-10,-85,180
1933,1920,-11,-85,181
1943,1910,-10,-85,180
1952,1899,-10,-85,180
1963,2241,-10,-85,180
1973,1915,-10,-85,180
1983,1921,-11,-85,181
1993,2777,-10,-85,180
2003,2260,-10,-85,181
2013,2763,-9,-85,180
2023,1907,-10,-85,180
2033,1936,-9,-85,179
2043,2208,-8,-85,178
2053,1837,-9,-85,179
2063,1905,-8,-85,178
2073,2528,-8,-85,178
