Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1882,-49,-87,225
13,1896,-47,-87,223
23,1888,-45,-87,221
33,1888,-43,-88,219
43,1895,-40,-88,217
53,1903,-39,-88,215
63,1926,-36,-88,212
73,1882,-33,-88,209
83,1875,-31,-88,207
92,1904,-32,-88,209
103,1926,-29,-88,206
113,1980,-29,-88,205
123,2050,-28,-88,205
132,1898,-26,-88,202
143,1898,-23,-88,200
153,1944,-20,-88,196
163,1920,-16,-88,193
173,1919,-13,-88,190
183,1912,-10,-88,187
193,1916,-7,-88,184
203,1902,-5,-88,181
213,2147,-1,-88,178
223,1912,2,-88,175
233,1893,5,-88,172
243,1908,7,-88,170
253,1905,10,-88,166
263,1900,13,-88,164
273,1908,15,-88,161
283,2011,18,-88,158
293,1911,17,-88,160
303,1941,13,-88,163
313,3273,11,-88,166
323,3085,8,-88,169
333,2164,5,-88,172
342,2776,3,-88,174
353,1948,-1,-88,178
363,2975,-4,-88,181
373,2828,-3,-88,180
382,2845,-3,-88,181
393,1902,0,-88,178
403,1873,4,-88,175
413,1962,5,-88,173
423,2599,5,-88,173
433,2201,8,-88,170
443,1907,9,-88,170
453,1919,8,-88,171
463,1986,12,-88,167
473,2112,13,-88,165
483,2096,12,-88,167
493,2062,16,-88,162
503,1982,15,-88,164
513,2007,15,-88,164
523,2549,17,-88,161
533,2700,15,-88,163
543,1910,20,-88,159
553,1902,20,-88,158
563,2375,18,-88,160
573,2136,20,-88,158
583,2237,17,-88,161
592,2492,19,-88,159
603,1913,14,-88,164
613,1920,13,-88,165
623,2524,13,-88,165
632,2331,10,-88,168
643,1935,15,-88,163
653,1985,14,-88,164
663,1894,12,-88,166
673,1995,17,-88,161
683,2302,15,-88,164
693,2326,18,-88,160
703,1895,18,-88,160
713,2037,14,-88,165
723,2487,14,-88,164
733,1983,13,-88,165
743,1904,16,-88,162
753,1918,16,-88,162
763,2445,16,-88,162
773,2191,16,-88,162
783,2254,12,-88,166
793,2149,15,-88,163
803,1983,13,-88,165
813,1848,14,-88,164
823,2449,18,-88,160
833,2373,15,-88,164
842,2007,18,-88,160
853,1923,16,-88,162
863,2028,17,-88,161
873,1968,19,-88,159
882,2668,15,-88,163
893,1917,19,-88,159
903,1907,17,-88,161
913,1909,19,-88,159
923,2337,24,-88,155
933,2600,20,-88,158
943,2166,23,-88,155
953,2175,21,-88,157
963,1937,23,-88,155
973,2179,26,-88,152
983,2182,23,-88,155
993,2131,27,-88,151
1003,2430,24,-88,154
1013,1941,27,-88,151
1023,2518,25,-88,153
1033,2370,23,-88,156
1043,2604,27,-88,151
1053,1914,24,-88,154
1063,2043,27,-88,151
1073,1855,28,-88,150
1083,2380,23,-88,155
1092,2639,27,-88,151
1103,1907,23,-88,155
1113,2044,27,-88,151
1123,1988,26,-88,152
1132,2497,23,-88,155
1143,1923,27,-88,151
1153,1918,24,-88,154
1163,2074,27,-88,151
1173,2065,26,-88,152
1183,2049,23,-88,155
1193,2140,28,-88,150
