Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
43325,1891,170,-85,-83
43337,1923,171,-85,-84
43347,1919,171,-85,-83
43357,1914,170,-85,-82
43367,1914,170,-85,-82
43377,1911,170,-85,-83
43387,1914,170,-84,-83
43397,1912,170,-85,-83
43407,1916,169,-84,-82
43417,1914,170,-84,-83
43427,1911,170,-85,-83
43437,1908,170,-85,-83
43447,1904,170,-85,-83
43457,1912,171,-85,-84
43467,1916,172,-85,-85
43476,1920,172,-85,-85
43487,1917,171,-85,-85
43497,1911,172,-85,-85
43507,1908,171,-85,-85
43517,1910,171,-85,-85
0,1910,171,-85,-85
10,1903,170,-85,-84
20,1892,167,-85,-81
30,1903,166,-85,-80
40,1900,165,-85,-80
50,1909,165,-85,-80
60,1896,166,-84,-81
70,1903,167,-84,-81
80,1933,165,-84,-80
90,1917,166,-84,-81
100,1916,165,-84,-80
110,1928,164,-84,-79
120,1941,165,-84,-80
130,1928,164,-84,-78
140,1923,164,-84,-79
150,1931,165,-84,-80
160,1972,165,-84,-79
170,1970,165,-84,-79
180,1942,166,-84,-80
190,1962,166,-84,-80
199,1963,167,-84,-81
210,1967,168,-84,-81
220,1934,169,-84,-82
230,1937,170,-83,-83
240,1966,170,-83,-82
250,1982,171,-83,-83
260,1929,171,-83,-83
270,1936,172,-83,-84
280,1995,171,-83,-83
290,2126,172,-83,-83
300,2155,172,-83,-83
310,2163,172,-83,-83
320,2410,173,-83,-84
330,2596,173,-83,-84
340,2425,174,-83,-84
350,2544,175,-83,-84
360,2466,176,-83,-85
370,2820,176,-83,-85
380,2847,175,-83,-83
390,2945,176,-83,-84
400,2976,177,-83,-84
410,3245,174,-83,-81
420,3484,175,-83,-82
430,3160,174,-83,-80
440,3328,172,-82,-78
449,3433,171,-83,-77
460,3682,168,-83,-74
470,3457,168,-83,-75
480,3746,170,-82,-76
490,3757,168,-82,-74
500,3736,165,-82,-72
510,3744,165,-81,-72
520,3783,161,-82,-68
530,3663,160,-81,-68
540,3743,156,-82,-64
550,3696,155,-81,-63
560,3744,148,-82,-56
570,3737,145,-82,-54
580,3671,142,-81,-52
590,3693,141,-81,-51
600,3712,143,-80,-53
610,3715,141,-80,-52
620,3711,140,-79,-51
630,3750,138,-79,-48
640,3687,132,-80,-43
650,3741,132,-79,-42
660,3733,132,-79,-42
670,3697,131,-78,-42
680,3742,132,-78,-42
690,3715,130,-78,-40
699,3746,128,-78,-38
710,3774,127,-78,-37
720,3746,125,-78,-35
730,3742,127,-77,-37
740,3761,127,-77,-37
750,3695,127,-77,-36
760,3705,127,-78,-35
770,3681,126,-78,-34
780,3749,127,-78,-35
790,3746,129,-78,-36
800,3766,129,-78,-36
810,3751,131,-78,-37
820,3666,131,-79,-37
830,3715,132,-79,-38
840,3694,135,-80,-40
850,3687,136,-80,-41
860,3652,140,-81,-45
870,3685,143,-81,-48
880,3707,146,-82,-50
890,3725,153,-82,-56
900,3741,158,-83,-61
910,3666,166,-83,-68
920,3742,173,-83,-75
930,3645,-179,-84,-82
940,3688,-172,-84,-88
949,3740,-165,-84,-95
960,3770,-156,-84,-103
970,3734,-149,-83,-110
980,3674,-142,-83,-117
990,3727,-135,-82,-123
1000,3666,-130,-82,-128
1010,3714,-125,-81,-132
1020,3683,-123,-80,-135
1030,3658,-122,-80,-135
1040,3748,-120,-79,-137
1050,3702,-118,-78,-138
1060,3697,-117,-78,-139
1070,3729,-117,-77,-139
1080,3651,-117,-77,-139
1090,3664,-117,-77,-139
1100,3676,-118,-76,-139
1110,3645,-119,-76,-138
1120,3715,-120,-75,-136
1130,3665,-123,-75,-134
1140,3656,-125,-75,-132
1150,3714,-125,-74,-132
1160,3675,-126,-74,-131
1170,3757,-127,-74,-130
1180,3728,-128,-74,-129
1190,3691,-130,-74,-128
1199,3690,-130,-75,-128
1210,3730,-130,-75,-128
1220,3686,-131,-76,-127
1230,3688,-130,-76,-128
1240,3643,-131,-76,-127
1250,3752,-131,-77,-128
1260,3668,-132,-77,-127
1270,3639,-133,-77,-126
1280,3748,-133,-78,-126
1290,3733,-135,-78,-124
1300,3642,-136,-79,-124
1310,3625,-138,-79,-122
1320,3747,-141,-80,-120
1330,3709,-142,-80,-119
1340,3741,-146,-80,-116
1350,3767,-148,-81,-114
1360,3723,-152,-81,-111
1370,3693,-155,-81,-108
