Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
0,1896,-55,-89,156
10,1893,-59,-89,159
20,1907,-55,-89,156
30,1905,-59,-89,159
40,1899,-56,-89,157
50,1907,-56,-89,157
60,1908,-58,-89,159
70,1901,-56,-89,157
80,1915,-53,-89,154
90,1926,-57,-89,157
100,1934,-56,-89,157
110,1925,-63,-89,164
120,1925,-60,-89,161
130,1920,-64,-89,165
140,1916,-66,-89,167
150,1934,-72,-89,173
160,1935,-65,-89,166
170,1942,-68,-89,169
180,1916,-69,-89,170
190,1940,-68,-89,169
200,1924,-69,-89,170
210,1939,-70,-89,171
220,1997,-68,-89,169
230,1984,-70,-89,171
240,1978,-69,-89,170
250,1930,-69,-89,169
260,1955,-68,-89,169
270,1969,-62,-89,163
280,1974,-73,-89,174
290,1948,-72,-89,173
300,1961,-82,-89,-177
310,2012,-83,-89,-176
320,2027,-83,-89,-176
330,2059,-77,-89,178
340,2202,-74,-89,175
350,2356,-77,-89,178
360,2350,-69,-89,170
370,2360,-65,-89,166
380,2363,-61,-89,162
390,2446,-61,-89,162
400,2820,-70,-89,171
410,2945,-80,-89,-179
420,3087,-57,-89,158
430,3134,-89,-89,-170
440,3131,-64,-89,165
450,2978,-58,-89,160
460,2885,-97,-89,-161
470,3339,-120,-89,-138
480,3481,-129,-88,-129
490,3588,-141,-88,-117
500,3516,-148,-87,-109
510,3581,-152,-87,-105
520,3768,-149,-87,-108
530,3670,-151,-87,-106
540,3603,-151,-87,-107
550,3738,-152,-87,-106
560,3754,-152,-86,-105
570,3725,-157,-86,-100
580,3630,-156,-86,-102
590,3667,-158,-86,-100
600,3750,-155,-86,-103
610,3645,-154,-86,-104
620,3681,-151,-86,-107
630,3691,-150,-86,-108
640,3703,-153,-86,-105
650,3656,-150,-86,-107
660,3723,-152,-86,-106
670,3739,-153,-86,-104
680,3708,-150,-86,-107
690,3758,-151,-86,-107
700,3591,-148,-86,-110
710,3778,-148,-86,-110
720,3613,-151,-86,-106
730,3660,-150,-86,-108
740,3553,-151,-85,-107
750,3557,-152,-85,-106
760,3780,-148,-86,-110
770,3545,-149,-86,-109
780,3773,-149,-85,-109
790,3650,-149,-85,-108
800,3624,-153,-85,-104
810,3652,-151,-85,-106
820,3758,-151,-85,-107
830,3649,-151,-85,-107
840,3698,-147,-85,-111
850,3673,-149,-85,-109
860,3623,-151,-85,-107
870,3531,-147,-85,-110
880,3606,-151,-85,-107
890,3670,-148,-85,-110
900,3705,-148,-85,-109
910,3675,-151,-85,-107
920,3668,-147,-85,-111
930,3725,-149,-85,-109
940,3742,-147,-85,-110
950,3587,-148,-85,-109
960,3590,-150,-85,-108
970,3720,-148,-85,-109
980,3527,-150,-85,-107
990,3646,-151,-85,-107
1000,3676,-148,-85,-109
1010,3704,-150,-85,-107
1020,3646,-149,-85,-109
1030,3706,-150,-85,-107
1040,3613,-149,-85,-109
1050,3591,-148,-85,-110
1060,3722,-151,-84,-106
1070,3664,-149,-85,-109
1080,3634,-152,-85,-106
1090,3667,-152,-85,-106
1100,3685,-150,-85,-108
1110,3720,-153,-84,-104
1120,3581,-151,-85,-106
1130,3698,-151,-84,-106
1140,3620,-153,-84,-105
1150,3623,-152,-84,-105
1160,3702,-153,-84,-105
1170,3765,-153,-84,-105
1180,3676,-154,-84,-104
1190,3740,-153,-84,-104
1200,3689,-153,-84,-105
1210,3660,-154,-84,-103
1220,3676,-154,-84,-104
1230,3639,-154,-84,-103
1240,3661,-154,-84,-103
1250,3652,-153,-84,-104
1260,3598,-155,-84,-103
1270,3591,-154,-84,-103
1280,3609,-154,-84,-103
1290,3669,-154,-84,-103
1300,3634,-154,-84,-103
1310,3686,-155,-83,-102
1320,3575,-153,-84,-104
1330,3649,-154,-84,-104
1340,3510,-153,-84,-104
1350,3675,-154,-84,-104
1360,3680,-154,-83,-103
1370,3671,-153,-84,-104
1380,3669,-155,-83,-102
1390,3647,-154,-83,-103
1400,3637,-155,-83,-102
1410,3582,-154,-83,-103
1420,3687,-154,-83,-103
1430,3634,-155,-83,-102
1440,3639,-154,-83,-103
1450,3582,-155,-83,-102
1460,3570,-155,-83,-102
1470,3581,-155,-83,-102
1480,3714,-155,-83,-102
1490,3689,-154,-83,-103
1500,3616,-156,-83,-101
1510,3600,-155,-83,-102
1520,3651,-156,-83,-101
1530,3662,-156,-83,-101
1540,3658,-155,-83,-102
1550,3556,-156,-83,-101
1560,3636,-155,-83,-102
1570,3710,-156,-83,-101
1580,3637,-156,-83,-101
1590,3633,-156,-83,-101
1600,3543,-156,-83,-101
1610,3648,-156,-83,-101
1620,3600,-157,-82,-100
1630,3572,-155,-83,-101
1640,3727,-157,-83,-100
1650,3651,-157,-83,-100
1660,3654,-157,-82,-99
1670,3559,-157,-82,-100
1680,3643,-157,-82,-100
1690,3582,-157,-82,-100
1700,3667,-157,-82,-100
1710,3655,-158,-82,-99
1720,3711,-157,-82,-100
1730,3556,-156,-83,-101
1740,3622,-155,-83,-101
1750,3694,-155,-83,-102
1760,3697,-156,-83,-101
1770,3758,-155,-83,-102
1780,3601,-155,-83,-102
1790,3662,-153,-83,-104
1800,3626,-154,-83,-103
1810,3614,-156,-83,-101
1820,3732,-154,-83,-103
1830,3693,-154,-83,-103
1840,3611,-154,-83,-103
1850,3631,-154,-83,-103
1860,3670,-155,-83,-102
1870,3662,-156,-83,-101
1880,3641,-157,-83,-100
1890,3605,-156,-83,-101
1900,3751,-157,-83,-100
1910,3652,-156,-83,-101
1920,3639,-156,-83,-101
1930,3627,-156,-83,-101
1940,3703,-156,-83,-100
1950,3689,-156,-83,-101
1960,3648,-155,-83,-102
1970,3706,-156,-83,-101
1980,3673,-156,-83,-101
1990,3670,-156,-83,-101
2000,3598,-156,-83,-101
2010,3634,-155,-83,-101
2020,3613,-155,-83,-101
2030,3714,-155,-83,-101
2040,3676,-157,-83,-100
2050,3671,-155,-83,-102
2060,3645,-155,-83,-102
2070,3647,-155,-83,-102
2080,3728,-154,-83,-102
2090,3529,-154,-83,-103
2100,3624,-154,-83,-103
2110,3572,-155,-83,-102
2120,3667,-155,-83,-102
2130,3702,-157,-82,-100
2140,3631,-157,-83,-100
2150,3536,-157,-82,-100
2160,3563,-155,-83,-102
2170,3675,-155,-82,-102
2180,3694,-156,-82,-101
2190,3612,-156,-82,-101
2200,3543,-156,-82,-101
2210,3672,-155,-82,-101
2220,3561,-156,-82,-101
2230,3687,-156,-82,-101
2240,3624,-156,-82,-100
2250,3684,-156,-82,-100
2260,3599,-156,-82,-101
2270,3643,-156,-82,-100
2280,3574,-156,-82,-100
2290,3526,-157,-82,-100
2300,3701,-156,-82,-100
2310,3718,-157,-82,-100
2320,3646,-157,-82,-100
2330,3664,-157,-81,-100
2340,3603,-157,-82,-100
2350,3616,-157,-81,-100
2360,3688,-157,-82,-99
2370,3622,-157,-81,-100
2380,3701,-157,-82,-100
2390,3532,-157,-81,-100
2400,3635,-158,-81,-99
2410,3647,-157,-81,-100
2420,3623,-157,-81,-100
2430,3559,-156,-81,-100
2440,3688,-156,-81,-100
2450,3633,-156,-81,-101
2460,3640,-157,-81,-100
2470,3658,-156,-81,-100
2480,3561,-156,-81,-100
2490,3670,-157,-81,-100
2500,3590,-157,-81,-100
2510,3662,-157,-81,-100
2520,3658,-157,-81,-100
2530,3650,-157,-81,-100
2540,3668,-157,-81,-100
2550,3672,-157,-81,-100
2560,3607,-156,-81,-100
2570,3692,-157,-81,-100
2580,3728,-156,-81,-100
2590,3559,-157,-81,-100
2600,3677,-157,-81,-100
2610,3750,-157,-81,-100
2620,3587,-157,-81,-99
2630,3569,-157,-80,-100
2640,3577,-157,-81,-99
2650,3655,-157,-80,-99
2660,3591,-157,-80,-99
2670,3568,-157,-80,-100
2680,3597,-157,-81,-100
2690,3583,-157,-80,-100
2700,3626,-157,-81,-100
2710,3493,-157,-80,-100
2720,3673,-157,-80,-100
2730,3695,-157,-80,-100
2740,3677,-156,-80,-100
2750,3680,-156,-80,-101
2760,3650,-156,-80,-100
2770,3586,-156,-80,-101
2780,3615,-157,-80,-100
2790,3696,-157,-80,-100
2800,3641,-157,-80,-100
2810,3574,-157,-80,-100
2820,3595,-155,-80,-101
2830,3625,-156,-80,-101
2840,3653,-156,-80,-101
2850,3724,-156,-80,-101
2860,3596,-155,-80,-102
2870,3615,-155,-80,-102
2880,3644,-155,-80,-102
2890,3654,-155,-80,-102
2900,3678,-154,-81,-103
2910,3719,-154,-81,-103
2920,3676,-154,-81,-103
2930,3685,-154,-81,-103
2940,3723,-152,-81,-105
2950,3619,-152,-81,-105
2960,3733,-152,-81,-105
2970,3612,-154,-80,-103
2980,3576,-153,-81,-104
2990,3567,-153,-81,-104
3000,3595,-153,-81,-104
3010,3629,-153,-80,-103
3020,3664,-154,-80,-103
3030,3614,-153,-80,-103
3040,3621,-154,-80,-103
3050,3541,-154,-80,-103
3060,3528,-155,-80,-102
3070,3624,-154,-80,-103
3080,3726,-154,-80,-103
3090,3580,-154,-80,-103
3100,3617,-155,-80,-102
3110,3625,-154,-80,-103
3120,3657,-153,-81,-104
3130,3707,-151,-81,-106
3140,3526,-153,-81,-104
3150,3667,-152,-81,-105
3160,3697,-151,-81,-106
3170,3668,-149,-82,-108
3180,3600,-151,-81,-106
3190,3744,-150,-81,-107
3200,3554,-152,-81,-105
3210,3656,-150,-81,-107
3220,3642,-152,-81,-105
3230,3556,-151,-81,-106
3240,3584,-152,-81,-105
3250,3577,-150,-81,-107
3260,3689,-151,-81,-106
3270,3624,-150,-81,-107
3280,3602,-151,-81,-106
3290,3509,-148,-81,-109
3300,3583,-149,-81,-108
3310,3643,-148,-81,-109
3320,3694,-149,-81,-108
3330,3732,-147,-81,-110
3340,3517,-147,-81,-109
3350,3650,-147,-81,-110
3360,3600,-147,-80,-110
3370,3532,-146,-81,-111
3380,3693,-146,-80,-111
3390,3521,-146,-81,-111
3400,3571,-147,-80,-110
3410,3655,-145,-81,-112
3420,3578,-146,-80,-111
3430,3600,-146,-81,-111
3440,3693,-146,-80,-111
3450,3618,-145,-81,-112
3460,3497,-146,-80,-111
3470,3643,-146,-81,-111
3480,3672,-146,-80,-111
3490,3625,-145,-81,-111
3500,3605,-146,-80,-111
3510,3759,-146,-80,-111
3520,3549,-146,-80,-111
3530,3471,-145,-80,-112
3540,3616,-146,-80,-111
3550,3585,-145,-80,-112
3560,3723,-146,-80,-111
3570,3569,-145,-80,-112
3580,3584,-146,-80,-111
3590,3673,-145,-80,-111
3600,3636,-145,-80,-111
3610,3593,-145,-80,-111
3620,3597,-146,-80,-111
3630,3619,-146,-80,-111
3640,3567,-147,-80,-110
3650,3619,-146,-80,-111
3660,3545,-146,-80,-111
3670,3589,-145,-80,-111
3680,3642,-146,-80,-111
3690,3628,-145,-80,-112
3700,3493,-146,-79,-111
3710,3627,-145,-80,-112
3720,3701,-145,-79,-111
3730,3656,-145,-80,-112
3740,3514,-146,-79,-111
3750,3573,-145,-80,-112
3760,3610,-146,-79,-111
3770,3694,-145,-80,-112
3780,3590,-145,-79,-112
3790,3636,-144,-80,-113
3800,3619,-145,-79,-112
3810,3652,-144,-80,-113
3820,3597,-144,-79,-113
3830,3678,-143,-80,-114
3840,3573,-144,-79,-113
3850,3614,-142,-80,-115
3860,3710,-143,-79,-113
3870,3690,-142,-80,-115
3880,3550,-143,-79,-114
3890,3613,-142,-79,-115
3900,3575,-143,-79,-114
3910,3652,-142,-79,-115
3920,3456,-143,-79,-114
3930,3590,-142,-79,-114
3940,3499,-144,-79,-113
3950,3649,-143,-79,-114
3960,3562,-144,-79,-113
3970,3645,-143,-79,-114
3980,3530,-144,-78,-113
3990,3634,-143,-79,-114
4000,3508,-144,-78,-113
4010,3537,-143,-79,-114
4020,3623,-143,-79,-114
4030,3712,-142,-79,-115
4040,3614,-143,-78,-114
4050,3590,-142,-78,-115
4060,3633,-143,-78,-114
4070,3610,-142,-78,-115
4080,3512,-143,-78,-114
4090,3703,-142,-78,-115
4100,3678,-143,-78,-114
4110,3556,-142,-78,-115
4120,3590,-143,-78,-114
4130,3633,-143,-78,-114
4140,3630,-145,-78,-112
4150,3646,-143,-78,-114
4160,3594,-144,-78,-113
4170,3610,-143,-78,-114
4180,3604,-145,-78,-112
4190,3481,-143,-78,-114
4200,3514,-143,-78,-114
4210,3619,-144,-78,-113
4220,3584,-145,-78,-112
4230,3554,-143,-78,-114
4240,3466,-142,-78,-115
4250,3581,-141,-78,-116
4260,3567,-142,-78,-115
4270,3484,-142,-78,-115
4280,3627,-142,-78,-115
4290,3560,-142,-78,-115
4300,3614,-142,-78,-115
4310,3590,-142,-78,-115
4320,3657,-142,-78,-116
4330,3656,-142,-78,-115
4340,3620,-141,-78,-116
4350,3587,-142,-78,-115
4360,3642,-142,-78,-115
