Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
9255,1897,-170,-84,-32
9267,1927,-169,-84,-34
9277,1917,-170,-84,-33
9287,1915,-169,-84,-34
9297,1912,-169,-84,-34
9307,1907,-168,-84,-35
9317,1904,-167,-84,-35
9327,1913,-167,-84,-35
9337,1912,-167,-84,-36
9347,1910,-168,-84,-35
9357,1905,-169,-84,-33
9367,1903,-170,-84,-32
9377,1914,-170,-84,-32
9387,1910,-171,-84,-32
9397,1911,-170,-84,-33
9407,1907,-170,-84,-33
9417,1907,-170,-84,-32
9427,1913,-170,-84,-33
9437,1913,-169,-84,-34
9447,1916,-170,-84,-32
0,1912,-170,-84,-32
10,1900,-171,-84,-32
19,1901,-172,-84,-31
30,1918,-171,-84,-31
40,1906,-169,-84,-33
50,1902,-169,-84,-33
60,1906,-168,-84,-34
70,1909,-165,-83,-37
80,1914,-164,-83,-37
90,1944,-165,-83,-37
100,1931,-164,-83,-38
110,1920,-164,-83,-38
120,1938,-163,-83,-39
130,1926,-162,-83,-40
140,1946,-160,-83,-41
150,1927,-158,-83,-43
160,1947,-157,-83,-44
170,1976,-158,-83,-43
180,1952,-157,-83,-44
190,2005,-156,-83,-44
200,1980,-156,-82,-44
210,2001,-156,-82,-44
220,1967,-155,-82,-45
230,1969,-155,-82,-44
240,1963,-154,-82,-44
250,2002,-154,-82,-44
260,1960,-154,-82,-44
269,1984,-155,-82,-43
280,1966,-155,-82,-43
290,1993,-154,-82,-43
300,2074,-155,-82,-42
310,2204,-154,-82,-43
320,2192,-153,-81,-43
330,2367,-153,-81,-43
340,2363,-153,-81,-43
350,2629,-153,-81,-42
360,2573,-153,-81,-42
370,2885,-153,-81,-41
380,2881,-153,-81,-41
390,3029,-153,-81,-40
400,3018,-153,-81,-40
410,3137,-153,-81,-40
420,3191,-152,-81,-41
430,3206,-152,-81,-40
440,3372,-152,-81,-39
450,3381,-153,-81,-38
460,3480,-153,-80,-38
470,3591,-152,-80,-38
480,3603,-151,-80,-38
490,3603,-151,-80,-39
500,3737,-150,-80,-39
510,3769,-148,-80,-41
519,3746,-147,-80,-41
530,3712,-146,-80,-42
540,3723,-145,-80,-42
550,3725,-145,-80,-43
560,3704,-146,-79,-42
570,3678,-145,-79,-43
580,3719,-145,-79,-44
590,3730,-145,-79,-44
600,3669,-146,-78,-45
610,3758,-146,-78,-45
620,3638,-147,-78,-45
630,3731,-146,-78,-47
640,3703,-144,-78,-49
650,3685,-142,-78,-52
660,3718,-140,-78,-55
670,3743,-137,-78,-58
680,3741,-137,-78,-59
690,3749,-136,-79,-60
700,3756,-134,-79,-61
710,3694,-134,-79,-61
720,3709,-135,-79,-60
730,3703,-134,-79,-64
740,3733,-136,-79,-63
750,3722,-137,-79,-63
760,3728,-141,-78,-58
769,3755,-145,-78,-55
780,3759,-150,-77,-50
790,3647,-149,-78,-52
800,3703,-148,-78,-53
810,3718,-147,-79,-54
820,3739,-148,-79,-53
830,3751,-150,-79,-52
840,3760,-151,-79,-51
850,3723,-153,-79,-49
860,3722,-155,-79,-47
870,3661,-157,-80,-46
880,3742,-161,-80,-42
890,3747,-163,-80,-41
900,3671,-164,-80,-40
910,3646,-164,-80,-39
920,3760,-165,-80,-39
930,3733,-165,-80,-39
940,3721,-166,-80,-37
950,3762,-169,-80,-35
960,3722,-170,-81,-33
970,3707,-173,-80,-31
980,3721,-173,-80,-31
990,3712,-173,-81,-30
1000,3732,-173,-80,-31
1010,3724,-173,-81,-31
1019,3686,-173,-80,-31
1030,3728,-172,-80,-32
1040,3742,-172,-80,-33
1050,3769,-171,-80,-33
1060,3668,-171,-80,-33
1070,3652,-172,-79,-34
1080,3715,-171,-80,-34
1090,3747,-170,-80,-35
1100,3650,-169,-80,-35
1110,3714,-167,-80,-37
1120,3739,-167,-80,-36
1130,3692,-166,-80,-36
1140,3684,-167,-80,-35
1150,3704,-167,-81,-35
1160,3740,-167,-81,-34
1170,3747,-168,-81,-32
1180,3755,-169,-81,-31
1190,3741,-170,-81,-30
1200,3771,-170,-80,-30
1210,3738,-170,-80,-29
1220,3651,-170,-80,-29
1230,3745,-171,-81,-29
1240,3681,-172,-80,-28
1250,3739,-172,-80,-28
1260,3700,-171,-80,-29
1269,3667,-171,-80,-29
1280,3732,-168,-81,-31
1290,3734,-170,-82,-29
1300,3741,-169,-82,-30
1310,3680,-167,-82,-32
1320,3677,-165,-82,-34
1330,3746,-163,-82,-36
1340,3687,-163,-82,-35
1350,3680,-161,-82,-37
1360,3707,-160,-82,-38
1370,3698,-159,-82,-39
1380,3742,-158,-82,-39
1390,3771,-157,-82,-40
1400,3742,-155,-82,-41
1410,3690,-156,-81,-41
1420,3744,-154,-81,-43
1430,3742,-155,-81,-42
1440,3646,-154,-81,-42
1450,3678,-153,-81,-43
1460,3734,-152,-81,-44
1470,3696,-152,-81,-43
1480,3678,-152,-81,-44
1490,3686,-152,-81,-44
1500,3717,-152,-81,-44
1510,3718,-150,-81,-45
1519,3646,-151,-81,-44
1530,3711,-151,-81,-45
1540,3676,-152,-81,-43
1550,3712,-154,-81,-41
1560,3712,-155,-81,-40
1570,3717,-157,-81,-39
1580,3668,-158,-81,-39
1590,3762,-158,-81,-39
1600,3685,-157,-82,-40
1610,3668,-159,-81,-39
1620,3695,-159,-82,-40
1630,3720,-159,-82,-41
1640,3746,-158,-82,-42
1650,3713,-154,-83,-45
1660,3760,-153,-83,-46
1670,3651,-156,-83,-43
1680,3706,-160,-83,-40
1690,3668,-162,-83,-38
1700,3731,-164,-82,-36
1710,3666,-163,-82,-37
1720,3671,-163,-83,-37
1730,3666,-163,-83,-37
1740,3620,-162,-83,-37
1750,3701,-163,-83,-37
1760,3714,-163,-83,-36
1769,3673,-164,-83,-35
1780,3752,-165,-84,-35
1790,3685,-166,-83,-34
1800,3724,-165,-83,-34
1810,3711,-167,-84,-34
1820,3694,-168,-84,-31
1830,3712,-170,-84,-30
1840,3749,-171,-84,-29
1850,3682,-173,-84,-28
1860,3705,-174,-84,-27
1870,3743,-175,-84,-26
1880,3766,-175,-84,-27
1890,3690,-175,-84,-27
1900,3730,-177,-84,-25
1910,3685,-178,-84,-23
1920,3709,-179,-84,-22
1930,3693,-180,-84,-21
1940,3649,180,-83,-21
1950,3717,179,-84,-20
1960,3662,180,-83,-21
1970,3650,179,-84,-21
1980,3680,-179,-83,-22
1990,3708,179,-84,-20
2000,3685,-180,-83,-22
2010,3691,180,-84,-21
2019,3706,-179,-83,-22
2030,3633,179,-84,-21
2040,3681,-180,-83,-22
2050,3628,-178,-83,-24
2060,3702,-178,-82,-24
2070,3673,-178,-82,-24
2080,3638,-179,-83,-23
2090,3673,-177,-82,-25
2100,3698,-175,-83,-27
2110,3673,-173,-82,-28
2120,3741,-172,-82,-29
2130,3752,-172,-82,-29
2140,3642,-170,-83,-30
2150,3676,-171,-82,-28
2160,3709,-170,-83,-29
2170,3665,-170,-83,-29
2180,3637,-171,-82,-28
2190,3708,-171,-82,-27
2200,3707,-171,-82,-27
2210,3720,-171,-82,-28
2220,3673,-170,-83,-28
2230,3671,-171,-83,-28
2240,3670,-169,-83,-30
