Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
55581,1906,-145,-88,177
55591,1924,-143,-88,175
55601,1924,-144,-88,177
55611,1914,-143,-88,175
55621,1913,-142,-88,175
55631,1912,-144,-88,176
55641,1906,-143,-88,176
55651,1909,-145,-88,178
55661,1909,-147,-88,-180
55671,1915,-151,-88,-177
55681,1912,-154,-88,-173
55691,1911,-156,-88,-171
55701,1915,-154,-88,-174
55711,1913,-153,-88,-175
55721,1914,-152,-88,-176
55731,1918,-151,-88,-176
55741,1919,-156,-88,-172
55751,1921,-158,-88,-170
55761,1917,-158,-88,-170
55771,1914,-155,-88,-173
55781,1915,-153,-88,-175
55791,1910,-150,-88,-177
55801,1914,-154,-88,-174
55811,1914,-157,-88,-171
55821,1911,-159,-88,-169
55831,1916,-158,-88,-171
55841,1916,-157,-88,-171
55851,1917,-156,-88,-173
55861,1917,-155,-88,-173
55871,1915,-154,-88,-175
55881,1915,-159,-88,-170
55891,1915,-163,-88,-166
55901,1915,-162,-88,-167
55911,1916,-162,-88,-167
55921,1916,-161,-88,-169
55931,1914,-165,-88,-165
55941,1923,-164,-88,-166
55951,1920,-168,-88,-162
55961,1921,-167,-88,-163
55971,1917,-166,-88,-165
0,1911,-169,-88,-162
10,1903,-172,-88,-158
20,1915,-172,-88,-158
30,1906,-171,-88,-159
40,1900,-167,-88,-163
50,1904,-165,-87,-166
60,1910,-164,-87,-166
70,1910,-160,-88,-170
80,1912,-160,-88,-170
90,1918,-157,-88,-172
100,1938,-153,-88,-176
110,1919,-151,-88,-177
120,1920,-146,-88,178
130,1936,-138,-88,170
140,1925,-129,-88,162
150,1934,-121,-88,154
160,1938,-114,-88,148
170,1949,-110,-88,144
180,1950,-105,-88,139
190,2028,-102,-88,137
200,1988,-98,-87,134
210,1984,-94,-87,130
220,2004,-93,-87,130
230,2003,-90,-87,127
240,1930,-89,-87,126
250,1985,-86,-87,124
260,1977,-83,-87,121
270,1977,-81,-87,120
280,1926,-81,-87,120
290,1993,-80,-87,119
300,2096,-83,-87,122
310,2204,-86,-87,126
320,2128,-87,-87,127
330,2431,-85,-87,126
340,2423,-86,-87,127
350,2564,-87,-87,128
360,2865,-87,-87,127
370,2805,-88,-87,129
380,2788,-91,-87,132
390,2896,-91,-87,132
400,2873,-89,-87,130
410,3072,-84,-87,125
420,3227,-88,-87,130
430,3139,-83,-87,126
440,3254,-84,-87,127
450,3068,-79,-88,123
460,3445,-99,-88,144
470,3693,-122,-88,167
480,3698,-128,-87,174
490,3591,-144,-86,-169
500,3670,-138,-87,-175
510,3743,-144,-86,-168
520,3657,-140,-86,-171
530,3729,-135,-85,-175
540,3691,-129,-85,179
550,3694,-112,-86,161
560,3701,-108,-85,157
570,3724,-124,-85,173
580,3687,-118,-85,167
590,3708,-123,-85,171
600,3728,-126,-84,174
610,3696,-124,-84,172
620,3712,-124,-84,171
630,3604,-123,-84,169
640,3625,-120,-84,165
650,3747,-122,-83,167
660,3736,-120,-83,165
670,3694,-117,-83,160
680,3724,-115,-83,158
690,3700,-110,-83,153
700,3686,-110,-83,152
710,3597,-111,-83,152
720,3695,-108,-83,149
730,3733,-108,-82,149
740,3737,-105,-82,146
750,3671,-100,-82,141
760,3745,-100,-82,140
770,3573,-98,-82,139
780,3728,-94,-82,135
790,3677,-93,-82,134
800,3661,-92,-83,133
810,3670,-91,-83,132
820,3749,-93,-83,135
830,3722,-91,-84,133
840,3681,-89,-84,130
850,3699,-87,-84,129
860,3754,-79,-84,120
870,3749,-80,-85,121
880,3694,-80,-85,121
890,3677,-82,-85,123
900,3725,-88,-85,129
910,3725,-90,-85,131
920,3680,-94,-85,134
930,3743,-97,-85,137
940,3678,-97,-86,137
950,3667,-104,-86,144
960,3708,-106,-86,146
