Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
52653,1901,151,-82,-45
52663,1917,151,-82,-45
52673,1938,152,-82,-46
52683,1929,152,-82,-46
52693,1929,152,-82,-46
52703,1922,152,-82,-46
52713,1917,152,-81,-46
52723,1919,152,-82,-45
52733,1915,152,-81,-46
52743,1916,152,-82,-46
52753,1915,151,-81,-45
52763,1919,152,-81,-46
52773,1920,152,-81,-45
52783,1921,152,-81,-45
52793,1921,151,-81,-45
52803,1916,150,-81,-44
52813,1924,151,-81,-44
52823,1917,149,-81,-43
52833,1917,150,-81,-43
52843,1921,149,-81,-43
52853,1920,149,-81,-43
52863,1924,148,-81,-42
52873,1927,148,-82,-42
52883,1928,148,-81,-42
52893,1933,149,-81,-43
52903,1931,147,-81,-42
52913,1925,148,-81,-43
52923,1918,148,-81,-42
52933,1917,149,-81,-43
52943,1921,149,-81,-43
52953,1921,150,-81,-45
52963,1918,150,-81,-45
52973,1914,151,-81,-45
52983,1921,151,-81,-46
52993,1924,152,-81,-46
53003,1921,151,-81,-46
53013,1922,152,-81,-46
53023,1923,152,-80,-46
53033,1922,151,-81,-46
53043,1927,151,-81,-46
0,1928,151,-80,-46
10,1928,152,-80,-46
20,1910,151,-80,-46
30,1905,152,-80,-46
40,1904,152,-80,-47
50,1910,152,-80,-47
60,1909,153,-80,-48
70,1908,154,-80,-49
80,1926,155,-80,-49
90,1914,155,-80,-50
100,1919,156,-80,-50
110,1925,156,-80,-50
120,1931,155,-80,-49
130,1923,155,-81,-49
140,1945,153,-81,-47
150,1965,150,-82,-44
160,1948,149,-82,-43
170,1957,150,-82,-44
180,1984,149,-82,-43
190,1998,152,-82,-45
200,2007,153,-82,-46
210,1972,154,-82,-47
220,1932,154,-82,-47
230,1981,156,-81,-49
240,1984,155,-81,-47
250,1937,154,-81,-46
260,1945,154,-81,-46
270,1952,154,-81,-46
280,1955,152,-81,-44
290,1961,152,-81,-44
300,2036,153,-81,-44
310,2136,154,-81,-45
320,2301,155,-81,-46
330,2379,157,-80,-48
340,2411,158,-80,-49
350,2592,159,-80,-49
360,2610,159,-80,-49
370,2396,161,-79,-49
380,2428,162,-79,-50
390,2859,163,-79,-50
400,3153,166,-79,-51
410,3152,167,-79,-52
420,3147,169,-79,-54
430,3135,170,-79,-54
440,3198,169,-79,-52
450,3415,168,-79,-50
460,3389,168,-79,-50
470,3492,169,-79,-50
480,3682,169,-79,-50
490,3704,171,-78,-53
500,3717,173,-77,-55
510,3757,173,-77,-55
520,3715,173,-77,-56
530,3750,172,-77,-55
540,3779,172,-77,-55
550,3776,171,-78,-55
560,3729,170,-78,-54
570,3678,168,-78,-53
580,3635,167,-77,-52
590,3779,165,-78,-50
600,3728,164,-78,-50
610,3631,161,-79,-47
620,3748,160,-80,-46
630,3644,159,-80,-45
640,3653,159,-80,-45
650,3645,160,-81,-46
660,3688,162,-81,-48
670,3636,165,-80,-50
680,3646,168,-79,-53
690,3664,172,-78,-56
700,3620,173,-78,-57
710,3583,172,-79,-57
720,3739,171,-79,-56
730,3677,173,-79,-58
740,3682,177,-79,-61
750,3716,179,-79,-62
760,3672,-180,-79,-63
770,3751,-178,-78,-65
780,3760,-178,-79,-65
790,3679,-176,-79,-67
800,3681,-175,-79,-69
810,3653,-173,-79,-70
820,3627,-173,-79,-71
830,3691,-172,-80,-73
840,3736,-172,-79,-74
850,3678,-172,-80,-74
860,3674,-171,-79,-76
870,3740,-171,-80,-76
880,3717,-173,-80,-75
890,3607,-174,-79,-74
900,3615,-174,-80,-74
910,3702,-174,-79,-74
920,3650,-173,-80,-75
930,3686,-174,-80,-74
940,3718,-176,-80,-73
950,3542,-176,-80,-72
960,3694,-176,-79,-72
970,3692,-176,-79,-71
980,3766,-175,-78,-73
990,3728,-175,-79,-72
1000,3697,-176,-78,-72
1010,3723,-175,-78,-73
1020,3658,-174,-78,-74
1030,3574,-175,-78,-74
1040,3783,-175,-79,-73
1050,3629,-175,-78,-74
1060,3631,-174,-78,-74
1070,3692,-173,-78,-75
1080,3688,-172,-78,-77
1090,3757,-170,-78,-79
1100,3551,-169,-78,-79
1110,3624,-169,-78,-79
1120,3659,-169,-78,-79
1130,3674,-168,-79,-79
1140,3643,-168,-78,-79
1150,3700,-167,-79,-80
1160,3693,-167,-78,-80
1170,3709,-164,-79,-82
1180,3722,-165,-78,-81
1190,3677,-164,-78,-83
1200,3761,-165,-78,-83
1210,3691,-164,-78,-84
1220,3684,-165,-78,-84
1230,3748,-166,-78,-83
1240,3715,-166,-78,-83
1250,3669,-167,-78,-82
1260,3714,-166,-78,-83
1270,3685,-167,-78,-81
1280,3694,-167,-78,-81
1290,3731,-169,-78,-80
1300,3741,-170,-78,-79
1310,3756,-172,-79,-77
1320,3722,-172,-78,-77
1330,3750,-171,-78,-78
1340,3656,-170,-77,-78
1350,3698,-169,-77,-80
1360,3692,-170,-77,-79
1370,3735,-169,-78,-81
1380,3682,-169,-77,-80
1390,3693,-168,-77,-81
1400,3622,-167,-78,-83
1410,3654,-166,-77,-83
1420,3708,-165,-78,-84
1430,3724,-165,-76,-84
1440,3666,-163,-77,-85
1450,3734,-163,-77,-85
1460,3691,-161,-78,-87
1470,3749,-162,-77,-86
1480,3701,-159,-77,-89
1490,3667,-160,-77,-89
1500,3582,-158,-77,-91
1510,3731,-159,-77,-91
1520,3702,-157,-77,-93
1530,3627,-157,-78,-94
1540,3538,-156,-77,-95
1550,3750,-155,-78,-96
1560,3760,-157,-77,-94
1570,3720,-157,-78,-93
1580,3574,-160,-78,-91
1590,3731,-159,-78,-91
1600,3646,-161,-78,-89
1610,3698,-161,-79,-89
1620,3509,-164,-79,-86
1630,3754,-165,-79,-85
1640,3663,-169,-79,-81
1650,3708,-171,-79,-80
1660,3619,-175,-80,-76
1670,3724,-175,-78,-77
1680,3649,-176,-78,-75
1690,3740,-175,-77,-76
1700,3610,-176,-78,-75
1710,3614,-174,-79,-77
1720,3663,-173,-78,-78
1730,3761,-172,-78,-79
1740,3722,-170,-79,-81
1750,3664,-168,-79,-82
1760,3640,-168,-78,-82
1770,3559,-169,-77,-81
1780,3728,-167,-78,-83
1790,3638,-166,-79,-83
1800,3691,-165,-78,-85
1810,3726,-166,-78,-85
1820,3754,-164,-78,-87
1830,3668,-163,-79,-88
1840,3663,-163,-78,-89
1850,3658,-163,-78,-90
1860,3665,-162,-77,-91
1870,3629,-161,-78,-91
1880,3537,-162,-78,-91
1890,3719,-162,-78,-91
1900,3680,-163,-78,-89
1910,3677,-165,-77,-88
1920,3650,-164,-78,-88
1930,3649,-165,-77,-87
1940,3677,-166,-78,-86
1950,3652,-168,-77,-84
1960,3708,-171,-78,-82
1970,3694,-173,-78,-80
1980,3676,-174,-78,-78
1990,3679,-173,-77,-79
2000,3700,-173,-78,-80
2010,3684,-173,-77,-80
2020,3637,-172,-78,-80
2030,3703,-172,-77,-80
2040,3583,-172,-78,-80
2050,3631,-172,-77,-80
2060,3592,-172,-78,-80
2070,3654,-170,-78,-82
2080,3614,-169,-77,-82
2090,3591,-168,-77,-83
2100,3699,-168,-78,-84
2110,3620,-166,-77,-85
2120,3628,-164,-77,-86
2130,3668,-164,-77,-87
2140,3644,-163,-77,-88
2150,3637,-162,-77,-89
2160,3619,-160,-77,-92
2170,3654,-159,-77,-93
2180,3741,-158,-77,-95
2190,3658,-157,-77,-96
2200,3612,-156,-77,-98
2210,3667,-155,-77,-98
2220,3648,-156,-77,-98
2230,3620,-157,-77,-97
2240,3617,-158,-77,-96
2250,3599,-158,-77,-96
2260,3696,-158,-77,-95
2270,3724,-159,-78,-95
2280,3621,-160,-77,-94
2290,3656,-161,-78,-93
2300,3668,-164,-78,-91
2310,3678,-166,-78,-88
2320,3699,-169,-77,-86
2330,3651,-170,-77,-85
2340,3678,-170,-76,-85
2350,3698,-170,-77,-85
2360,3685,-169,-77,-85
2370,3659,-168,-77,-86
2380,3666,-167,-77,-87
2390,3713,-167,-77,-88
2400,3669,-166,-77,-89
2410,3586,-165,-77,-89
2420,3688,-165,-76,-89
2430,3683,-164,-77,-90
2440,3707,-163,-76,-90
2450,3654,-162,-77,-92
2460,3734,-161,-76,-93
2470,3705,-160,-77,-94
2480,3598,-160,-76,-95
2490,3698,-159,-77,-96
2500,3727,-159,-76,-97
2510,3594,-159,-77,-98
2520,3658,-158,-76,-99
2530,3617,-156,-77,-100
2540,3659,-156,-76,-101
2550,3611,-155,-77,-101
2560,3691,-156,-76,-100
2570,3682,-157,-77,-99
2580,3729,-159,-77,-98
2590,3670,-159,-78,-97
2600,3645,-160,-77,-96
2610,3593,-161,-78,-96
2620,3599,-163,-78,-93
2630,3719,-164,-79,-92
2640,3673,-168,-78,-88
2650,3656,-171,-79,-86
2660,3664,-173,-78,-84
2670,3686,-174,-78,-82
2680,3612,-175,-76,-82
2690,3636,-176,-76,-81
2700,3697,-176,-76,-81
2710,3700,-177,-77,-80
2720,3669,-175,-76,-80
2730,3672,-176,-77,-80
2740,3671,-174,-77,-82
2750,3715,-173,-77,-83
2760,3626,-172,-76,-83
2770,3662,-172,-76,-84
2780,3690,-171,-76,-85
2790,3543,-171,-76,-85
2800,3750,-169,-77,-86
2810,3660,-169,-76,-87
2820,3654,-168,-77,-89
2830,3630,-168,-77,-90
2840,3644,-167,-77,-91
2850,3600,-166,-76,-92
2860,3702,-165,-77,-93
2870,3669,-165,-76,-94
2880,3693,-165,-77,-93
2890,3688,-166,-76,-92
2900,3649,-165,-77,-93
2910,3709,-167,-76,-92
2920,3594,-167,-76,-90
2930,3613,-167,-76,-90
2940,3642,-168,-77,-90
2950,3650,-170,-76,-89
2960,3641,-172,-75,-86
2970,3661,-174,-76,-85
2980,3743,-174,-77,-84
2990,3642,-176,-75,-83
3000,3695,-175,-75,-83
3010,3570,-174,-75,-84
3020,3778,-174,-76,-84
3030,3510,-174,-75,-84
3040,3675,-176,-75,-83
3050,3722,-175,-75,-84
3060,3699,-174,-75,-84
3070,3565,-174,-75,-85
3080,3659,-172,-74,-85
3090,3588,-171,-74,-87
3100,3660,-170,-74,-87
3110,3564,-169,-74,-88
3120,3686,-168,-74,-89
3130,3690,-168,-73,-89
3140,3640,-167,-73,-90
3150,3722,-167,-72,-91
3160,3706,-165,-73,-92
3170,3674,-165,-72,-93
3180,3609,-164,-73,-94
3190,3616,-165,-72,-94
3200,3607,-164,-73,-96
3210,3722,-164,-72,-96
3220,3679,-163,-73,-96
3230,3653,-165,-72,-95
3240,3662,-165,-73,-95
3250,3700,-165,-72,-94
3260,3676,-166,-73,-94
3270,3681,-167,-72,-93
3280,3697,-168,-73,-91
3290,3682,-169,-73,-91
3300,3727,-171,-72,-89
3310,3723,-173,-73,-87
3320,3562,-173,-73,-87
3330,3670,-173,-73,-87
3340,3634,-173,-72,-87
3350,3613,-173,-72,-87
3360,3766,-173,-72,-87
3370,3760,-171,-72,-88
3380,3692,-171,-72,-88
3390,3654,-171,-72,-89
3400,3567,-170,-72,-89
3410,3645,-170,-72,-90
3420,3707,-169,-71,-90
3430,3683,-168,-72,-90
3440,3690,-168,-71,-91
3450,3633,-167,-71,-91
3460,3532,-166,-72,-93
3470,3605,-166,-71,-93
3480,3633,-165,-72,-95
3490,3591,-166,-71,-95
3500,3582,-164,-72,-97
3510,3642,-165,-71,-97
3520,3685,-163,-72,-98
3530,3643,-163,-71,-98
3540,3524,-162,-72,-100
3550,3691,-162,-72,-99
3560,3726,-162,-72,-99
3570,3662,-164,-72,-98
3580,3773,-164,-72,-97
3590,3760,-165,-72,-96
3600,3667,-165,-73,-96
3610,3658,-166,-73,-95
3620,3637,-168,-72,-93
3630,3626,-168,-73,-93
3640,3719,-171,-72,-90
3650,3750,-172,-73,-89
3660,3623,-174,-72,-87
3670,3678,-175,-73,-86
3680,3491,-176,-72,-85
3690,3751,-177,-72,-85
3700,3684,-178,-71,-84
3710,3656,-177,-72,-84
3720,3691,-178,-72,-84
3730,3700,-177,-73,-84
3740,3597,-177,-72,-84
3750,3722,-176,-72,-85
3760,3561,-175,-73,-86
3770,3624,-175,-72,-86
3780,3757,-174,-73,-87
3790,3635,-174,-72,-87
3800,3561,-173,-73,-88
3810,3747,-173,-72,-88
3820,3453,-173,-73,-89
