Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
56016,1897,-173,-88,165
56026,1897,-176,-88,168
56036,1895,-173,-88,165
56046,1896,-176,-88,168
56056,1902,-172,-88,165
56066,1892,-175,-88,167
56076,1897,-173,-88,166
56086,1892,-171,-88,164
56096,1903,-175,-88,167
56106,1894,-173,-88,166
56116,1888,-172,-88,165
56126,1891,-171,-88,164
56136,1900,-170,-88,163
56146,1901,-169,-88,162
56156,1891,-168,-88,161
56166,1891,-169,-88,162
56176,1898,-169,-88,162
56186,1897,-167,-88,160
56196,1895,-168,-88,161
56206,1899,-169,-88,162
56216,1902,-172,-88,165
10,1896,-169,-88,162
20,1899,-172,-88,165
30,1893,-169,-88,161
40,1902,-170,-88,163
50,1902,-166,-88,159
60,1903,-165,-88,158
70,1910,-160,-88,153
80,1906,-161,-88,154
90,1910,-158,-88,151
100,1934,-156,-88,149
110,1920,-154,-87,147
120,1941,-151,-87,144
130,1922,-148,-87,141
140,1941,-146,-87,140
150,1959,-145,-87,139
160,1940,-145,-87,140
170,1948,-145,-87,140
180,1993,-145,-87,140
190,1930,-144,-87,139
200,2036,-143,-87,139
210,1997,-142,-87,138
220,2050,-141,-87,137
230,1939,-143,-87,139
240,2062,-145,-87,141
250,1961,-147,-87,144
260,1982,-150,-86,146
270,1963,-151,-86,148
280,1950,-151,-86,149
290,1959,-154,-86,151
300,2009,-156,-86,153
310,1948,-157,-86,155
320,2171,-158,-86,156
330,2317,-159,-86,157
340,2120,-161,-86,159
350,2388,-163,-86,161
360,2151,-163,-86,162
370,2840,-162,-86,160
380,2677,-161,-86,159
390,2985,-162,-86,161
400,2560,-162,-86,160
410,3070,-162,-86,160
420,3091,-159,-86,157
430,2922,-158,-86,157
440,2940,-159,-86,157
450,3293,-158,-86,157
460,3336,-157,-86,156
470,3542,-159,-86,158
480,3392,-159,-85,157
490,3593,-157,-85,155
500,3681,-157,-85,156
510,3706,-161,-84,159
520,3689,-161,-84,159
530,3727,-158,-85,156
540,3647,-158,-84,156
550,3751,-158,-84,157
560,3717,-159,-84,158
570,3750,-162,-85,160
580,3729,-162,-85,160
590,3636,-161,-85,158
600,3653,-162,-85,159
610,3775,-160,-86,158
620,3711,-160,-86,157
630,3642,-163,-86,159
640,3777,-164,-86,159
650,3699,-165,-86,160
660,3633,-170,-86,165
670,3678,-170,-85,164
680,3756,-171,-85,165
690,3715,-171,-86,165
700,3673,-171,-85,165
710,3716,-171,-86,165
720,3688,-173,-86,167
730,3744,-174,-85,167
740,3708,-175,-85,169
750,3693,-175,-85,168
760,3668,-174,-85,168
770,3689,-175,-86,169
780,3659,-175,-85,169
790,3775,-177,-85,170
800,3785,-179,-85,172
810,3659,-180,-85,173
820,3636,176,-86,177
830,3712,176,-85,177
840,3662,174,-85,179
850,3745,171,-85,-178
860,3704,174,-85,179
870,3723,173,-85,179
880,3684,174,-85,178
890,3763,174,-85,179
900,3716,171,-85,-178
910,3749,173,-85,180
920,3633,171,-85,-178
930,3719,170,-85,-177
940,3673,171,-85,-178
950,3680,167,-85,-174
