Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3,1901,0,0,180
13,1898,0,0,180
23,1890,0,0,180
33,1897,0,0,180
42,1896,0,0,180
53,1887,0,-1,180
63,1904,0,-1,180
73,1890,0,-1,180
82,1932,0,-1,180
93,1889,0,-1,180
103,1906,0,-1,180
113,1903,0,-1,180
123,1903,0,-1,180
133,1888,1,-1,180
143,1893,1,-2,180
153,1902,1,-2,180
163,1931,1,-2,180
173,1894,1,-2,180
183,1888,1,-2,180
193,1907,1,-2,180
203,1906,1,-2,180
213,2161,1,-2,180
223,1887,1,-2,180
233,1895,1,-3,180
243,1901,1,-3,180
253,1884,1,-3,180
263,1880,1,-3,180
273,1879,1,-3,180
283,1912,1,-3,180
292,1932,1,-3,180
303,3077,1,-3,180
313,1914,1,-4,180
323,1925,1,-4,180
332,1925,1,-4,180
343,3541,1,-4,180
353,3615,2,-4,180
363,3749,2,-4,180
373,1959,2,-4,180
383,2809,2,-4,180
393,3668,2,-4,180
403,3771,3,-4,180
413,3439,3,-4,180
423,1620,3,-5,180
433,3188,3,-5,180
443,3697,3,-5,180
453,3777,3,-5,180
463,3776,3,-6,180
473,3785,3,-6,180
483,3773,3,-6,180
493,3761,3,-6,180
503,3780,3,-6,180
513,3695,3,-6,180
523,3347,2,-6,180
533,3446,2,-7,180
542,3771,2,-7,180
553,3782,2,-7,180
563,3681,2,-7,180
573,3771,2,-7,180
582,3764,2,-8,180
593,3413,2,-8,180
603,3745,2,-8,180
613,3694,2,-8,180
623,3781,2,-8,180
633,3776,2,-8,180
643,3736,3,-8,180
653,3759,3,-8,180
663,3776,3,-8,180
673,3760,3,-9,180
683,3770,3,-9,181
693,3756,3,-9,181
703,3778,3,-9,182
713,3800,3,-9,182
723,3784,3,-10,183
733,3776,3,-10,183
743,3755,3,-10,183
753,3791,3,-10,184
763,3763,3,-10,185
773,3248,3,-11,185
783,3725,3,-11,186
792,3182,3,-11,187
803,3785,3,-11,188
813,3767,2,-11,188
823,3757,2,-12,189
832,3759,2,-12,190
843,3687,2,-12,190
853,3784,3,-13,191
863,3355,3,-13,192
873,3394,3,-13,192
883,3368,3,-14,193
893,3761,4,-14,193
903,3719,4,-14,193
913,3718,4,-14,194
923,3740,4,-14,194
933,3246,4,-15,194
943,3763,4,-15,195
953,3505,4,-15,195
963,3751,4,-15,195
973,3771,4,-15,195
983,3431,3,-15,195
993,3769,3,-15,195
1003,3719,3,-16,196
1013,3761,3,-15,196
1023,3765,2,-15,196
1033,3762,2,-15,196
1042,3721,2,-15,196
1053,3766,1,-15,196
1063,3769,1,-15,196
1073,3763,0,-15,196
1082,3752,0,-15,196
1093,3749,0,-15,196
1103,3759,-1,-15,195
1113,3744,-1,-15,195
1123,3700,-2,-15,195
1133,3695,-2,-15,195
1143,3167,-3,-15,194
1153,3752,-3,-15,194
1163,3343,-3,-15,193
1173,3734,-4,-15,193
1183,3760,-4,-15,192
1193,3778,-4,-15,191
1203,3776,-4,-15,191
1213,3749,-4,-15,190
1223,3782,-4,-15,189
1233,3630,-5,-15,188
1243,3775,-5,-16,187
1253,3324,-5,-16,186
1263,3758,-5,-16,185
1273,3704,-4,-16,184
1283,3551,-5,-16,184
1292,3772,-5,-16,183
1303,3195,-5,-16,183
1313,3759,-6,-16,182
1323,3776,-6,-16,182
1332,3766,-6,-16,181
1343,3758,-6,-16,180
1353,3744,-6,-17,180
1363,3755,-6,-17,179
1373,3768,-6,-17,179
1383,3767,-6,-17,178
1393,3743,-6,-17,178
1403,3759,-6,-18,178
1413,3778,-6,-18,177
1423,3793,-6,-18,177
1433,3752,-6,-19,177
1443,3240,-6,-19,176
1453,3751,-7,-19,176
1463,3790,-7,-19,176
1473,3748,-7,-19,175
1483,3444,-7,-20,175
1493,3740,-7,-20,175
1503,3784,-7,-20,175
1513,3258,-7,-20,175
1523,3738,-7,-20,175
1533,3755,-7,-21,175
1542,3763,-7,-21,175
1553,3715,-7,-21,175
1563,3770,-7,-21,175
1573,3693,-7,-21,175
1582,3779,-7,-21,175
1593,3751,-7,-21,175
