Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3,1873,0,0,180
13,1875,0,0,180
23,1888,0,0,180
33,1889,0,0,180
43,1896,0,-1,180
53,1888,0,-1,180
63,1873,0,-1,180
73,1959,0,-1,180
83,1901,0,-1,180
93,1888,0,-1,180
103,1888,0,-1,180
113,1910,0,-2,180
122,2016,0,-2,180
133,1902,0,-2,180
143,1882,0,-2,180
153,1889,0,-2,180
162,1936,0,-2,180
173,1893,0,-2,180
183,1887,0,-2,180
193,1881,0,-3,180
203,1893,0,-3,180
213,1928,1,-3,180
223,1907,0,-3,180
233,1884,0,-3,180
243,1892,0,-3,180
253,2058,0,-3,180
263,1884,0,-3,180
273,1877,0,-3,180
283,1896,0,-4,180
293,2472,0,-4,180
303,2991,0,-4,180
313,2544,0,-4,180
323,1927,0,-4,180
333,2255,1,-4,180
343,3022,1,-4,180
353,3343,1,-4,180
363,3441,1,-5,180
372,3704,2,-5,180
383,2024,2,-5,180
393,2473,2,-5,180
403,3761,2,-5,180
412,3759,2,-5,180
423,3244,3,-5,180
433,2664,3,-5,180
443,2508,3,-6,180
453,3363,3,-6,180
463,3742,3,-6,180
473,3771,3,-7,180
483,3196,3,-7,181
493,3760,3,-7,181
503,3752,3,-7,181
513,3735,3,-7,181
523,3719,3,-8,181
533,3625,3,-8,181
543,3746,3,-8,181
553,3731,3,-8,181
563,3360,3,-8,181
573,3763,3,-8,182
583,3550,3,-8,182
593,3750,2,-8,182
603,3758,2,-8,182
613,3789,2,-8,182
622,3782,2,-9,182
633,3739,2,-9,182
643,3764,2,-9,182
653,3763,2,-9,182
662,3738,2,-9,182
673,3734,2,-9,183
683,3737,2,-9,183
693,3768,2,-9,183
703,3771,2,-10,183
713,3771,2,-10,183
723,3632,2,-10,183
733,3214,2,-10,183
743,3350,2,-10,183
753,3263,2,-10,183
763,3249,2,-10,183
773,3328,2,-11,183
783,3252,2,-11,183
793,3762,2,-11,183
803,3760,2,-11,183
813,3761,2,-11,183
823,3784,2,-11,183
833,3757,2,-11,184
843,3204,2,-11,184
853,3751,2,-11,184
863,3761,1,-12,184
872,3760,1,-12,184
883,3749,1,-12,184
893,3760,1,-12,184
903,3756,1,-12,184
912,3324,1,-12,184
923,3761,1,-12,184
933,3326,1,-13,184
943,3751,1,-13,184
953,3655,1,-13,184
