Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,151,0,0,180
13,56,0,0,180
23,176,0,0,180
33,78,0,-1,180
43,196,0,-1,180
53,61,0,-1,180
63,170,0,-1,180
73,64,0,-1,180
83,233,0,-1,180
92,0,0,-1,180
103,227,0,-1,180
113,0,0,-1,180
123,207,0,-2,180
132,57,0,-2,180
143,145,0,-2,180
153,93,0,-2,180
163,159,0,-2,180
173,102,0,-2,180
183,164,0,-2,180
193,81,0,-2,180
203,171,0,-3,180
213,106,0,-3,180
223,163,0,-3,180
233,76,0,-3,180
243,180,0,-3,180
253,96,0,-3,180
263,235,0,-3,180
273,0,0,-3,180
283,255,0,-3,180
293,19,0,-3,180
303,208,0,-4,180
313,62,0,-4,180
323,183,0,-4,180
333,60,0,-4,180
342,217,1,-4,180
353,100,1,-4,180
363,141,1,-4,180
373,81,1,-4,180
382,199,2,-5,180
393,133,2,-5,180
403,106,2,-5,180
413,189,2,-5,180
423,89,2,-5,180
433,76,3,-5,180
443,112,3,-5,180
453,61,3,-5,180
463,230,3,-5,180
473,72,3,-5,180
483,176,3,-6,180
493,100,3,-6,180
503,212,3,-6,180
513,200,3,-6,180
523,207,3,-6,181
533,57,3,-6,181
543,185,3,-6,181
553,0,3,-6,181
563,1,3,-6,181
573,0,3,-7,181
583,10,3,-7,181
592,11,3,-7,181
603,14,3,-7,181
613,44,3,-7,181
623,0,3,-7,181
632,3709,3,-7,181
643,3595,3,-7,182
653,3766,3,-8,182
663,3364,3,-8,182
673,3503,3,-8,182
683,3774,3,-8,182
693,14,3,-8,182
703,14,3,-9,183
713,9,3,-9,183
723,17,3,-9,183
733,24,3,-9,183
743,4,3,-9,184
753,6,3,-9,184
763,0,3,-9,184
773,0,3,-9,184
783,0,3,-9,185
793,20,3,-10,185
803,11,2,-10,185
813,0,2,-10,185
823,34,2,-10,185
833,13,2,-10,186
842,65,2,-10,186
853,23,2,-11,186
863,36,1,-11,186
873,23,1,-11,186
882,104,1,-11,187
893,11,1,-11,187
903,48,1,-11,187
913,39,1,-11,187
923,66,1,-11,187
933,9,0,-12,187
943,87,0,-12,187
953,0,0,-12,187
963,127,0,-12,187
973,10,0,-12,187
983,81,0,-12,188
993,47,0,-12,188
1003,128,0,-13,188
1013,0,-1,-13,188
1023,105,-1,-13,188
1033,30,-1,-13,188
1043,96,-1,-13,188
1053,48,-1,-13,188
1063,87,-1,-13,188
1073,48,-2,-13,188
1083,134,-2,-14,188
1092,0,-2,-14,188
1103,87,-2,-14,188
1113,61,-2,-14,188
1123,97,-3,-14,188
1132,47,-3,-14,188
1143,94,-3,-14,188
1153,0,-3,-14,188
1163,114,-3,-14,188
1173,18,-4,-14,188
1183,83,-4,-15,188
1193,36,-4,-15,188
1203,69,-4,-15,188
1213,19,-4,-15,188
1223,113,-5,-15,188
1233,0,-5,-15,188
1243,111,-5,-15,188
1253,13,-5,-15,188
1263,64,-6,-15,188
1273,37,-6,-15,188
