Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1887,-23,-89,204
13,1899,-24,-89,206
23,1878,-18,-89,199
32,1904,-27,-89,209
43,1895,-21,-89,202
53,1901,-21,-89,202
63,1877,-26,-89,207
73,1889,-18,-89,199
83,1889,-8,-89,189
93,1884,5,-89,176
103,1887,-4,-89,185
113,1882,-20,-89,201
123,1877,-9,-89,191
133,1886,-24,-89,205
143,1897,-20,-89,201
153,1918,-20,-89,202
163,1891,-16,-89,197
173,1879,-19,-89,200
183,1886,-22,-89,203
193,1893,-19,-89,201
203,1981,-27,-89,208
213,1882,-33,-89,215
223,1897,-27,-89,209
233,1895,-19,-89,201
242,1935,-10,-89,192
253,1878,-2,-89,184
263,1878,8,-89,173
273,1899,15,-89,167
282,1930,25,-89,156
293,1885,23,-89,159
303,1884,14,-89,167
313,1911,4,-89,177
323,1931,-7,-89,188
333,1946,-23,-89,205
343,1895,-36,-89,218
353,2108,-44,-89,226
363,2092,-50,-89,231
373,2521,-56,-89,238
383,1934,-63,-89,244
393,1939,-67,-89,249
403,2150,-68,-89,251
413,3610,-66,-89,248
423,1606,-63,-89,246
433,2104,-71,-89,254
443,2612,-65,-89,248
453,3758,-73,-89,256
463,3091,-71,-89,255
473,2379,-68,-89,252
483,2456,-65,-89,249
492,3740,-57,-89,241
503,3732,-57,-89,241
513,3764,-60,-89,244
523,3747,-56,-89,240
532,3771,-58,-89,242
543,3772,-59,-89,243
553,3736,-60,-89,244
563,3461,-63,-89,247
573,3767,-60,-89,244
583,3265,-66,-89,250
593,3450,-64,-89,248
603,3499,-60,-89,244
613,3736,-58,-89,242
623,3720,-52,-89,236
633,3369,-58,-89,242
643,3688,-60,-89,244
653,3744,-56,-89,240
663,3735,-68,-89,252
673,3757,-69,-89,252
683,3736,-63,-89,247
693,3736,-70,-88,254
703,3746,-71,-88,255
713,3764,-77,-88,261
723,3726,-80,-88,264
733,3761,-85,-88,269
742,3763,-81,-88,265
753,3767,-85,-88,269
763,3774,-82,-88,267
773,3744,-83,-88,267
782,3749,-81,-88,266
793,3734,-80,-87,265
803,3775,-87,-87,271
813,3754,-88,-87,273
823,3768,-86,-87,270
833,3739,-86,-87,271
843,3409,-84,-87,268
853,3792,-82,-87,267
863,3770,-85,-87,270
873,3591,-81,-87,266
883,3767,-85,-87,269
893,3753,-89,-87,273
903,3548,-85,-87,269
913,3730,-87,-87,272
923,3434,-85,-87,270
933,3745,-85,-87,270
943,3752,-88,-87,273
953,3743,-84,-87,269
963,3723,-84,-87,269
973,3764,-86,-87,270
983,3775,-87,-87,271
992,3698,-86,-87,270
1003,3737,-86,-87,271
1013,3761,-81,-87,266
1023,3228,-86,-87,271
1032,3759,-83,-87,268
1043,3734,-83,-87,268
1053,3780,-85,-87,269
1063,3710,-85,-87,269
1073,3740,-87,-87,272
1083,3751,-86,-87,270
1093,3764,-86,-86,270
1103,3771,-87,-86,271
1113,3774,-87,-86,271
1123,3751,-87,-86,271
1133,3761,-89,-86,273
1143,3793,-87,-86,271
1153,3300,-90,-86,274
1163,3774,-88,-86,272
1173,3760,-88,-86,272
1183,3783,-89,-86,273
1193,3199,-91,-86,275
1203,3791,-90,-86,274
1213,3776,-93,-86,276
1223,3752,-90,-86,273
1233,3752,-92,-86,275
1242,3767,-91,-86,275
1253,3449,-90,-86,273
1263,3636,-93,-86,276
1273,3757,-92,-86,275
1282,3749,-93,-86,276
1293,3754,-93,-86,276
1303,3638,-91,-86,274
1313,3157,-93,-86,276
1323,3774,-91,-86,274
1333,3775,-92,-86,275
1343,3282,-92,-85,274
1353,3748,-90,-85,273
1363,3759,-92,-85,275
1373,3566,-92,-85,274
1383,3737,-93,-85,275
1393,3735,-92,-85,274
1403,3747,-90,-85,271
1413,3624,-92,-85,273
1423,3776,-92,-85,273
1433,3748,-92,-85,273
1443,3192,-92,-85,273
1453,3603,-91,-85,272
1463,3771,-93,-85,274
1473,3139,-93,-85,273
1483,3772,-93,-85,273
1492,3601,-94,-85,274
1503,3744,-92,-85,272
1513,3751,-94,-85,274
1523,3107,-93,-85,273
1532,3760,-94,-85,274
1543,3752,-95,-85,274
1553,3765,-93,-85,272
1563,3255,-95,-85,274
1573,3744,-93,-85,272
1583,3731,-93,-85,272
1593,3761,-94,-85,272
1603,3176,-93,-85,271
1613,3209,-94,-85,272
1623,3247,-93,-85,271
1633,3680,-93,-85,271
1643,3721,-93,-85,271
1653,3759,-92,-85,270
1663,3479,-94,-85,271
1673,3746,-93,-84,270
1683,3720,-94,-84,270
1693,3698,-94,-84,271
1703,3613,-93,-84,269
1713,3488,-94,-84,271
1723,3698,-93,-85,269
1733,3319,-94,-85,270
1742,3635,-94,-85,269
1753,3719,-93,-85,268
1763,3754,-94,-85,269
1773,3741,-93,-85,268
1782,3731,-93,-85,268
1793,3241,-92,-85,267
1803,3665,-93,-85,267
1813,3745,-94,-85,268
1823,3776,-94,-85,267
1833,3488,-95,-85,269
1843,3746,-94,-85,268
1853,3761,-95,-85,268
1863,3762,-94,-85,267
