Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3812,1908,-37,-88,139
3822,1907,-38,-88,140
3832,1932,-38,-88,140
3842,1926,-37,-88,139
3852,1928,-43,-88,145
3862,1921,-42,-88,144
3872,1920,-41,-87,143
3882,1920,-39,-87,141
3892,1921,-41,-87,143
3902,1921,-39,-87,142
3912,1915,-41,-87,144
3922,1914,-42,-87,144
3932,1918,-40,-87,142
3942,1917,-41,-87,144
3952,1909,-40,-87,142
3962,1911,-37,-87,140
3972,1917,-37,-87,139
3982,1916,-37,-88,140
3992,1916,-39,-88,142
4002,1922,-40,-88,143
4012,1922,-38,-88,141
4022,1919,-36,-88,140
4032,1918,-35,-88,139
4042,1924,-35,-88,138
4052,1927,-35,-88,138
4062,1928,-37,-88,141
4072,1923,-37,-87,141
4082,1913,-39,-87,143
4092,1916,-39,-87,144
4102,1916,-38,-87,143
4112,1923,-37,-87,143
4122,1920,-39,-87,145
4132,1921,-39,-87,146
4142,1923,-36,-87,143
4152,1918,-39,-87,146
4162,1921,-37,-87,144
4172,1916,-37,-87,145
4182,1913,-35,-88,144
4192,1920,-34,-88,143
4202,1916,-31,-88,141
4212,1923,-29,-88,139
10,1912,-26,-88,137
20,1918,-26,-88,137
30,1916,-28,-88,140
40,1916,-31,-88,142
50,1912,-38,-88,150
60,1916,-41,-88,154
70,1920,-51,-88,164
80,1940,-61,-88,174
90,1931,-79,-89,-168
100,1927,-81,-89,-166
110,1929,-91,-89,-156
120,1931,-95,-89,-151
130,1951,-101,-89,-145
140,1937,-107,-89,-139
150,1944,-108,-88,-138
160,1959,-112,-88,-134
170,1985,-117,-88,-129
180,1989,-122,-88,-124
190,1994,-127,-88,-119
200,2001,-131,-88,-115
210,1987,-136,-88,-110
220,1964,-137,-88,-110
230,1972,-145,-88,-102
240,1972,-148,-88,-99
250,1950,-149,-88,-98
260,1965,-151,-89,-96
270,1982,-156,-89,-91
280,2006,-153,-89,-93
290,2000,-165,-89,-81
300,2187,-177,-89,-69
310,2281,172,-89,-58
320,2387,155,-89,-41
330,2404,140,-89,-26
340,2456,140,-89,-25
350,2521,133,-89,-19
360,2914,133,-89,-18
370,2725,124,-89,-10
380,2897,131,-88,-17
390,2926,117,-89,-3
400,3317,119,-89,-5
410,2978,104,-89,10
420,3110,81,-89,33
430,3307,72,-89,42
440,3275,69,-89,45
450,3526,68,-88,47
460,3671,73,-88,42
470,3698,64,-89,51
480,3744,82,-89,33
490,3759,115,-88,1
500,3781,107,-88,9
510,3742,105,-88,10
520,3758,78,-88,36
530,3764,63,-88,50
540,3728,46,-88,67
550,3787,32,-87,80
560,3743,25,-87,87
570,3757,17,-86,94
580,3749,16,-86,95
590,3736,17,-85,94
600,3679,14,-85,97
610,3726,10,-85,101
620,3733,7,-84,104
630,3789,8,-83,103
640,3685,7,-83,104
650,3750,9,-83,103
660,3743,10,-83,102
670,3627,10,-83,103
680,3744,10,-83,102
690,3670,8,-83,104
700,3780,6,-83,106
710,3723,7,-83,105
720,3777,8,-84,103
730,3778,7,-84,105
740,3721,3,-85,109
750,3689,2,-85,110
760,3757,-3,-85,115
770,3671,-8,-86,120
780,3626,-4,-86,118
790,3716,-4,-86,117
800,3648,-2,-87,115
810,3612,-4,-87,118
820,3672,1,-87,113
830,3735,-1,-88,114
840,3749,4,-88,109
850,3685,0,-88,113
860,3716,6,-88,107
870,3742,9,-88,104
880,3679,9,-87,105
890,3701,12,-87,102
900,3733,18,-87,96
910,3714,22,-88,92
920,3675,23,-88,90
930,3741,23,-88,90
940,3703,24,-88,89
950,3647,31,-88,81
960,3734,36,-88,77
970,3699,34,-88,78
980,3721,27,-87,84
990,3747,24,-87,86
1000,3770,29,-87,81
1010,3607,35,-88,75
1020,3746,39,-88,70
1030,3785,24,-88,85
1040,3693,15,-88,95
1050,3704,-1,-89,111
1060,3673,-14,-88,124
1070,3675,-24,-88,134
1080,3705,-29,-88,139
1090,3770,-33,-88,143
1100,3736,-41,-88,151
1110,3692,-40,-87,150
1120,3709,-39,-88,149
1130,3597,-30,-87,141
1140,3687,-25,-87,135
1150,3642,-24,-87,133
1160,3642,-26,-87,134
1170,3716,-28,-87,136
1180,3727,-35,-87,142
1190,3724,-34,-86,140
1200,3771,-33,-86,139
1210,3741,-39,-86,143
1220,3696,-43,-86,147
1230,3650,-47,-86,152
1240,3696,-46,-86,150
1250,3691,-42,-86,147
1260,3794,-42,-85,146
1270,3718,-36,-85,141
1280,3682,-32,-85,137
1290,3745,-28,-85,133
1300,3714,-27,-85,131
1310,3708,-31,-86,135
1320,3653,-33,-86,136
1330,3744,-32,-86,135
1340,3711,-30,-86,132
1350,3672,-30,-86,133
1360,3717,-27,-85,130
1370,3735,-28,-86,131
1380,3782,-31,-86,133
1390,3701,-28,-85,129
1400,3689,-27,-86,126
1410,3695,-26,-86,126
1420,3739,-29,-86,128
1430,3694,-39,-87,138
1440,3711,-35,-88,134
1450,3694,-35,-88,133
1460,3678,-26,-86,123
1470,3748,-21,-86,118
1480,3729,-23,-86,119
1490,3731,-24,-86,121
1500,3695,-26,-86,123
1510,3682,-28,-86,124
1520,3683,-28,-86,125
1530,3694,-27,-86,124
1540,3657,-32,-86,128
1550,3693,-36,-86,132
1560,3726,-41,-85,138
1570,3593,-47,-85,143
1580,3707,-46,-85,143
1590,3775,-47,-85,144
1600,3736,-37,-84,134
1610,3643,-33,-84,130
1620,3612,-35,-85,131
1630,3695,-38,-85,134
1640,3657,-37,-85,133
1650,3637,-37,-84,133
1660,3692,-35,-84,130
1670,3546,-36,-84,131
1680,3722,-38,-84,132
1690,3681,-41,-84,135
1700,3690,-49,-84,142
1710,3619,-49,-84,141
1720,3613,-46,-84,138
1730,3696,-45,-83,137
1740,3676,-42,-83,133
1750,3639,-43,-83,134
1760,3624,-43,-82,133
1770,3670,-40,-82,130
1780,3742,-41,-82,131
1790,3733,-38,-82,128
