Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3,1878,0,0,180
13,1908,0,0,180
23,1879,0,0,180
32,1904,0,0,180
43,1904,0,-1,180
53,1890,0,-1,180
63,1894,0,-1,180
73,1916,0,-1,180
83,1920,0,-1,179
93,1896,0,-1,179
103,1907,0,-1,179
113,1904,0,-1,179
123,1908,0,-2,179
133,1905,-1,-2,178
143,1909,-1,-2,178
153,1908,-1,-2,178
163,2018,-1,-2,177
173,1902,-2,-2,177
183,1908,-2,-3,177
193,1902,-2,-3,177
203,1902,-2,-3,176
213,1991,-2,-3,176
223,1903,-2,-3,176
233,1907,-3,-3,176
242,1902,-3,-3,175
253,1904,-3,-4,175
263,1932,-3,-4,175
273,1930,-3,-4,175
282,1920,-3,-4,175
293,2579,-2,-4,175
303,3055,-2,-4,175
313,1906,-2,-4,175
323,1947,-2,-5,175
333,2720,-2,-5,175
343,3483,-2,-5,175
353,2437,-2,-5,175
363,3396,-1,-5,175
373,2814,-1,-5,175
383,3728,-1,-5,175
393,3664,-1,-5,175
403,3788,0,-5,175
413,3729,0,-5,175
423,3047,0,-5,175
433,3171,0,-5,175
443,3769,0,-6,175
453,3632,1,-6,175
463,3752,0,-6,175
473,3755,0,-6,175
483,3751,0,-6,175
492,3754,1,-6,174
503,3776,1,-6,174
513,3759,0,-7,174
523,3776,0,-7,174
532,3745,1,-7,174
543,3737,1,-7,174
553,3621,1,-7,174
563,3792,1,-7,173
573,3760,1,-8,173
583,3763,1,-8,173
593,3716,1,-8,173
603,3767,1,-8,173
613,3732,1,-9,173
623,3776,2,-9,173
633,3749,2,-9,173
643,3766,2,-9,173
653,3773,3,-9,173
663,3761,3,-9,173
673,3767,4,-9,173
683,3756,4,-9,173
693,3742,5,-9,174
703,3289,6,-9,174
713,3762,6,-9,174
723,3761,6,-10,175
733,3375,7,-10,175
742,3774,7,-10,175
753,3555,7,-10,176
763,3750,8,-10,177
773,3354,8,-10,177
782,3761,8,-10,178
793,3322,9,-10,179
803,3778,9,-10,179
813,3425,9,-11,180
823,3775,9,-10,181
833,3776,9,-11,181
843,3757,8,-11,182
853,3378,8,-11,183
863,3743,8,-11,184
873,3732,8,-11,185
883,3759,8,-11,186
893,3749,9,-12,187
903,3751,9,-12,188
913,3756,9,-12,189
923,3244,10,-13,190
933,3404,10,-13,190
943,3390,11,-13,191
953,3185,11,-13,192
963,3738,12,-13,192
973,3528,12,-14,193
983,3745,12,-14,193
992,3717,13,-14,194
1003,3743,13,-15,194
1013,3214,13,-15,195
1023,3763,13,-15,195
1032,3482,13,-15,195
1043,3753,13,-15,196
1053,3779,13,-16,196
1063,3459,12,-16,196
1073,3747,12,-16,196
1083,3761,11,-16,196
1093,3770,11,-16,196
1103,3774,10,-16,196
1113,3754,9,-16,196
1123,3422,9,-16,196
1133,3734,8,-16,196
1143,3681,7,-16,196
1153,3776,6,-16,196
1163,3747,6,-16,195
1173,3734,5,-16,195
1183,3767,4,-16,194
1193,3766,2,-16,193
1203,3776,1,-16,193
1213,3748,0,-16,192
1223,3760,0,-16,192
1233,3774,0,-16,191
1242,3762,0,-16,190
1253,3747,-1,-16,189
1263,3411,-1,-16,188
1273,3232,-2,-16,187
1282,3456,-2,-15,186
1293,3683,-3,-15,185
1303,3760,-3,-16,184
1313,3695,-3,-15,183
1323,3759,-3,-16,182
1333,3751,-4,-15,181
1343,3650,-4,-16,180
1353,3763,-5,-16,179
1363,3747,-5,-15,178
1373,3740,-5,-16,177
1383,3761,-5,-16,176
1393,3763,-5,-16,175
1403,3793,-5,-17,173
1413,3672,-6,-17,172
1423,3503,-6,-17,171
1433,3723,-6,-18,170
1443,3717,-6,-18,170
1453,3225,-6,-18,169
1463,3786,-6,-19,168
1473,3756,-6,-19,167
1483,3731,-6,-19,166
1492,3788,-5,-20,166
1503,3750,-5,-20,165
1513,3761,-4,-20,165
1523,3753,-4,-20,164
1532,3711,-3,-20,164
1543,3757,-3,-20,164
1553,3228,-2,-20,163
1563,3773,-2,-20,163
1573,3715,-2,-20,163
1583,3255,-2,-20,163
1593,3605,-2,-19,163
1603,3756,-1,-19,163
1613,3370,-1,-19,163
1623,3770,0,-19,164
1633,3675,1,-19,164
1643,3674,1,-18,164
1653,3770,1,-18,164
1663,3281,2,-18,165
1673,3178,3,-18,165
1683,3748,4,-18,166
1693,3767,5,-18,166
1703,3685,6,-18,167
1713,3180,7,-19,168
1723,3203,8,-19,169
1733,3757,9,-20,170
1742,3774,10,-20,171
1753,3637,11,-20,172
1763,3272,12,-20,173
1773,3184,12,-20,175
1782,3167,13,-20,176
1793,3778,14,-20,177
1803,3784,14,-20,179
1813,3762,14,-20,180
1823,3748,14,-20,182
1833,3759,14,-20,183
1843,3763,14,-21,185
1853,3773,13,-21,186
1863,3191,13,-22,187
1873,3751,13,-23,189
1883,3222,14,-23,190
1893,3782,15,-23,191
1903,3780,16,-24,193
1913,3759,16,-24,194
1923,3746,17,-25,195
1933,3784,18,-25,196
1943,3251,18,-25,197
1953,3576,19,-26,197
1963,3745,19,-26,198
1973,3768,19,-26,199
1983,3744,20,-27,199
1992,3776,20,-27,200
2003,3427,20,-28,201
2013,3757,20,-28,201
2023,3766,20,-28,202
2032,3768,20,-28,202
2043,3762,19,-29,203
2053,3750,19,-29,203
2063,3771,18,-29,203
2073,3764,18,-29,204
2083,3755,17,-28,204
2093,3675,16,-28,204
2103,3761,16,-28,204
2113,3548,15,-28,204
2123,3776,14,-29,204
2133,3770,14,-29,204
2143,3763,13,-28,203
2153,3748,12,-29,203
2163,3764,12,-28,202
2173,3400,11,-28,201
2183,3766,10,-28,200
2193,3766,9,-28,200
2203,3756,8,-28,198
2213,3759,6,-28,198
2223,3540,6,-28,197
2233,3761,6,-28,196
2242,3772,6,-28,195
2253,3772,6,-29,193
2263,3755,6,-28,192
2273,3768,6,-29,190
2282,3768,5,-28,189
2293,3762,5,-28,188
2303,3753,4,-27,186
2313,3750,4,-28,185
2323,3351,4,-28,183
2333,3776,3,-27,182
2343,3194,3,-27,181
2353,3763,3,-26,180
2363,3758,3,-26,179
2373,3768,3,-26,177
2383,3313,3,-26,176
2393,3732,4,-26,174
2403,3743,4,-26,173
2413,3538,3,-27,171
2423,3729,3,-27,170
2433,3779,3,-27,169
2443,3747,2,-27,168
2453,3460,2,-28,167
2463,3615,2,-28,166
2473,3197,3,-28,165
2483,3288,3,-29,164
2492,3376,4,-29,163
2503,3768,4,-30,163
2513,3778,5,-29,162
2523,3745,5,-30,162
2532,3751,6,-30,161
2543,3751,6,-30,161
2553,3758,6,-30,160
2563,3776,6,-30,160
2573,3761,6,-30,160
2583,3324,6,-30,160
2593,3766,6,-29,160
2603,3759,7,-29,161
2613,3758,7,-29,161
2623,3433,8,-29,161
2633,3107,8,-29,162
2643,3777,8,-29,162
2653,3751,9,-29,163
2663,3765,10,-29,163
2673,3576,11,-29,164
2683,3275,11,-29,165
2693,3397,12,-29,165
2703,3777,13,-29,166
2713,3751,13,-30,167
2723,3781,14,-30,168
2733,3128,15,-30,169
2742,3716,15,-31,170
2753,3553,16,-31,171
2763,3752,16,-31,173
2773,3178,17,-31,174
2782,3144,17,-31,175
2793,3755,17,-32,177
2803,3703,18,-32,178
2813,3231,18,-32,179
2823,3679,18,-33,181
2833,3772,17,-33,182
2843,3332,17,-33,184
2853,3714,16,-34,186
2863,3773,15,-34,187
2873,3776,14,-35,189
2883,3132,14,-35,191
2893,3772,14,-36,192
2903,3100,15,-36,193
2913,3796,15,-37,194
2923,3400,16,-37,195
2933,3320,16,-38,196
2943,3757,16,-38,197
2953,3236,17,-38,198
2963,3755,17,-38,199
2973,3382,17,-39,199
2983,3678,17,-39,200
2992,3768,17,-40,200
3003,3799,17,-40,201
3013,3518,17,-40,202
3023,3738,16,-40,202
3032,3768,16,-40,203
3043,3777,16,-40,203
3053,3127,16,-41,203
3063,3738,15,-41,203
3073,3776,15,-41,204
3083,3752,14,-41,204
3093,3740,14,-41,204
3103,3689,13,-41,204
3113,3768,13,-41,204
3123,3696,12,-41,204
3133,3766,11,-41,204
3143,3754,11,-41,203
3153,3730,10,-41,202
3163,3758,10,-41,202
3173,3766,10,-41,201
3183,3762,9,-41,200
3193,3760,9,-41,199
3203,3658,9,-41,198
3213,3756,8,-41,196
3223,3440,7,-41,195
3233,3121,6,-40,194
3242,3767,6,-39,194
3253,3276,7,-40,193
3263,3764,7,-39,191
3273,3765,8,-39,190
3282,3146,8,-39,188
3293,3274,8,-39,187
3303,3783,7,-39,185
3313,3289,7,-38,184
3323,3675,7,-38,183
3333,3738,7,-38,182
3343,3759,7,-38,180
3353,3772,7,-38,180
3363,3698,7,-38,178
3373,3768,8,-37,177
3383,3734,8,-37,176
3393,3766,9,-37,174
3403,3368,9,-37,172
3413,3754,10,-37,171
3423,3724,10,-38,169
3433,3317,10,-37,168
3443,3358,10,-38,167
3453,3182,10,-38,166
