Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1885,-107,-87,357
13,1893,-106,-87,356
23,1888,-102,-87,352
33,1886,-103,-87,353
42,1886,-102,-87,351
53,1891,-103,-88,353
63,1890,-104,-88,354
73,1897,-103,-88,353
82,1906,-103,-88,353
93,1898,-103,-88,352
103,1906,-107,-89,357
113,1905,-111,-89,1
123,1943,-117,-89,7
133,1904,-123,-89,12
143,1905,-139,-90,28
153,1900,139,-90,109
163,1896,105,-89,143
173,1896,110,-89,137
183,1872,111,-89,137
193,2142,109,-89,138
203,1885,105,-89,142
213,1904,95,-88,152
223,1903,97,-88,150
233,1992,94,-88,153
243,1898,93,-88,154
253,2082,93,-87,154
263,1882,92,-87,155
273,1910,91,-87,156
283,1927,91,-87,156
292,1912,91,-87,156
303,1883,91,-87,156
313,1922,88,-87,159
323,2728,87,-87,160
332,2393,86,-87,161
343,1907,86,-87,161
353,2442,84,-87,163
363,3364,84,-87,164
373,3646,85,-87,163
383,2265,83,-87,166
393,2227,83,-87,165
403,3711,83,-87,166
413,3644,82,-87,166
423,3751,83,-87,166
433,3736,87,-87,162
443,3735,87,-87,163
453,2697,82,-87,167
463,3744,78,-87,171
473,3736,76,-86,173
483,3765,77,-86,172
493,3625,76,-86,173
503,3778,78,-86,172
513,3772,79,-85,170
523,3750,79,-85,171
533,3766,80,-85,169
542,3762,78,-85,171
553,3769,80,-85,169
563,3763,79,-85,170
573,3766,80,-84,170
582,3769,79,-84,170
593,3743,80,-84,169
603,3606,83,-84,166
613,3736,82,-84,168
623,3778,85,-84,165
633,3771,86,-84,164
643,3768,87,-84,164
653,3711,88,-84,163
663,3767,85,-84,166
673,3761,88,-84,164
683,3760,89,-84,164
693,3227,88,-84,165
703,3754,90,-85,163
713,3771,88,-85,166
723,3231,90,-85,164
733,3761,88,-85,167
743,3761,89,-86,166
753,3203,90,-86,165
763,3287,91,-87,165
773,3759,94,-87,163
783,3731,96,-88,161
792,3324,89,-89,168
803,3631,110,-89,148
813,3759,-107,-90,5
823,3743,-101,-89,359
832,3516,-92,-89,350
843,3193,-89,-87,347
853,3509,-94,-86,352
863,3768,-90,-85,348
873,3766,-92,-84,350
883,3232,-92,-83,350
893,3763,-93,-82,352
903,3755,-95,-82,355
913,3760,-93,-81,353
923,3758,-95,-80,357
933,3764,-94,-79,356
943,3756,-93,-79,356
953,3268,-93,-78,357
963,3764,-93,-78,357
973,3263,-94,-77,358
983,3743,-94,-77,359
993,3759,-93,-76,358
1003,3738,-94,-76,359
1013,3749,-94,-75,359
1023,3775,-94,-75,360
1033,3193,-95,-75,1
1042,3720,-95,-75,0
1053,3752,-95,-74,1
1063,3779,-94,-74,359
1073,3768,-94,-74,358
1082,3704,-94,-74,358
1093,3754,-94,-74,358
1103,3728,-95,-74,358
1113,3761,-96,-74,358
1123,3718,-97,-74,359
1133,3641,-98,-75,359
1143,3761,-99,-75,359
1153,3764,-100,-76,360
1163,3751,-102,-76,360
1173,3756,-104,-77,1
1183,3769,-108,-77,4
1193,3753,-109,-78,4
1203,3762,-107,-79,360
1213,3740,-105,-79,357
1223,3768,-106,-80,358
1233,3535,-108,-80,359
1243,3773,-109,-81,0
1253,3745,-111,-82,1
1263,3399,-111,-83,0
