Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3,1890,0,0,180
13,1888,0,0,180
23,1896,0,0,180
33,1895,0,0,180
43,1883,0,-1,180
53,1888,0,-1,180
63,1898,0,-1,180
73,1946,0,-1,180
83,1911,0,-1,180
93,1899,1,-1,181
102,1908,1,-1,181
113,1912,1,-1,181
123,1901,1,-2,181
133,1906,1,-2,181
143,1932,1,-2,182
153,2059,2,-2,182
163,1912,3,-2,182
173,1914,3,-2,182
183,1915,3,-2,183
193,1984,3,-2,183
203,1904,4,-2,183
213,1904,4,-3,183
223,1904,4,-3,183
233,1918,4,-3,183
243,1910,4,-3,184
253,1910,4,-3,184
263,1961,4,-4,184
273,2036,4,-4,184
283,1919,4,-4,184
293,1948,5,-4,184
303,2313,5,-4,184
313,2484,5,-4,184
323,1935,5,-4,184
333,1940,6,-4,184
343,2015,6,-4,184
352,3713,6,-4,184
363,1986,6,-4,184
373,1966,6,-4,184
383,2783,7,-4,184
393,3501,7,-4,184
403,3484,7,-4,183
413,2105,7,-4,184
423,3237,7,-4,184
433,3384,7,-4,183
443,3434,7,-4,183
453,3741,7,-4,183
463,3737,7,-5,183
473,3439,7,-5,183
483,3753,7,-6,183
493,3757,7,-6,183
503,3760,7,-6,183
513,3761,7,-6,183
523,3761,7,-6,183
533,3748,7,-7,183
543,3255,6,-7,183
553,3761,6,-7,182
563,3765,5,-7,182
573,3720,5,-7,182
583,3743,4,-7,182
593,3697,4,-7,182
602,3777,3,-7,182
613,3453,3,-8,182
623,3679,2,-8,182
633,3764,2,-8,182
643,3774,2,-9,182
653,3251,2,-9,182
663,3752,2,-9,182
673,3766,1,-9,182
683,3765,1,-9,182
693,3770,1,-9,182
703,3753,1,-9,182
713,3763,0,-9,182
723,3751,0,-10,182
733,3782,0,-10,182
743,3787,0,-10,182
753,3190,0,-10,182
763,3736,0,-10,182
773,3750,0,-11,182
783,3716,0,-11,182
793,3753,0,-11,182
803,3255,-1,-11,183
813,3247,-1,-11,183
823,3775,-1,-11,183
833,3744,-1,-11,183
843,3251,-1,-11,183
852,3757,-1,-11,184
863,3751,-1,-12,184
873,3770,-1,-12,184
883,3743,-1,-12,185
893,3781,-1,-12,185
903,3770,-1,-12,185
913,3761,-1,-12,186
923,3719,-1,-12,186
933,3772,0,-12,187
943,3770,0,-13,187
953,3757,0,-13,188
963,3751,0,-13,188
973,3739,0,-13,189
983,3224,0,-13,189
993,3232,0,-14,190
1003,3776,0,-14,190
1013,3693,0,-14,191
1023,3745,0,-14,192
1033,3327,0,-14,192
1043,3776,0,-14,192
1053,3773,0,-14,193
1063,3753,0,-14,193
1073,3755,0,-14,194
1083,3727,0,-15,194
1093,3280,0,-15,195
1102,3754,0,-15,195
1113,3734,0,-15,195
1123,3280,0,-15,195
1133,3771,0,-15,195
1143,3311,0,-15,195
1153,3259,-1,-16,195
1163,3736,-1,-16,194
1173,3183,-1,-15,194
1183,3760,-1,-16,194
1193,3759,-1,-16,193
1203,3747,-2,-16,193
1213,3755,-2,-16,192
1223,3768,-3,-16,192
1233,3511,-3,-16,191
1243,3755,-4,-15,191
1253,3704,-4,-16,190
1263,3751,-4,-16,189
1273,3700,-5,-16,188
1283,3170,-5,-16,188
1293,3754,-5,-16,187
1303,3758,-5,-15,186
1313,3265,-5,-16,185
1323,3759,-5,-16,184
1333,3505,-5,-16,183
1343,3751,-5,-16,182
1352,3425,-6,-16,182
1363,3399,-6,-16,182
1373,3752,-7,-15,181
1383,3757,-7,-16,181
1393,3228,-7,-16,181
1403,3757,-7,-16,180
1413,3737,-7,-17,179
1423,3666,-7,-16,179
1433,3303,-7,-16,178
1443,3760,-8,-17,178
1453,3753,-8,-16,178
1463,3367,-8,-17,177
1473,3765,-8,-17,177
1483,3772,-8,-18,177
1493,3768,-8,-18,176
1503,3756,-8,-18,176
1513,3755,-8,-18,176
1523,3731,-8,-18,175
1533,3433,-8,-18,175
1543,3784,-8,-19,175
1553,3732,-9,-19,175
1563,3746,-9,-19,175
1573,3782,-9,-19,175
1583,3773,-9,-20,175
1593,3761,-9,-21,175
1602,3739,-9,-21,175
1613,3752,-9,-21,175
1623,3771,-9,-21,175
1633,3640,-9,-21,175
1643,3695,-9,-22,176
1653,3759,-9,-22,176
1663,3544,-9,-23,176
1673,3764,-9,-23,177
1683,3762,-8,-22,177
1693,3754,-8,-22,177
1703,3273,-8,-22,177
1713,3765,-8,-23,177
1723,3640,-8,-23,178
1733,3735,-8,-23,178
1743,3737,-8,-23,178
1753,3775,-8,-23,178
1763,3752,-8,-23,178
1773,3749,-8,-23,178
1783,3736,-8,-24,178
1793,3643,-8,-23,178
1803,3723,-8,-24,178
1813,3753,-8,-23,178
1823,3361,-7,-23,178
1833,3768,-7,-23,178
