Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3,1881,-75,-89,332
13,1891,-73,-89,330
23,1888,-74,-89,330
33,1892,-72,-89,328
43,1896,-71,-89,328
53,1900,-70,-89,326
63,1950,-62,-89,318
73,1897,-50,-89,306
82,1914,-23,-90,278
93,1912,12,-90,243
103,1899,66,-90,189
113,1903,97,-90,158
122,1905,104,-90,151
133,1975,83,-89,172
143,1927,98,-89,157
153,1877,82,-89,173
163,1920,89,-89,166
173,1909,85,-89,169
183,2004,84,-88,170
193,2008,85,-88,169
203,1902,83,-88,171
213,1908,82,-88,172
223,1944,83,-88,171
233,2131,82,-87,172
243,2121,83,-87,171
253,1884,84,-87,170
263,1925,84,-87,170
273,1916,84,-87,170
283,1888,84,-87,171
293,1907,81,-86,173
303,1911,81,-86,173
313,2194,81,-86,173
323,2070,83,-86,171
332,1877,84,-86,171
343,1953,82,-86,172
353,2575,83,-86,172
363,2079,82,-86,173
372,3590,80,-86,175
383,1960,78,-86,177
393,2855,79,-86,176
403,2376,78,-87,177
413,3766,77,-87,178
423,3395,75,-87,181
433,2441,77,-87,179
443,2363,72,-87,184
453,3160,76,-87,181
463,3751,76,-87,182
473,3331,70,-87,188
483,3196,69,-87,189
493,2771,66,-87,193
503,3772,59,-87,199
513,3760,57,-87,202
523,3772,56,-87,203
533,3738,54,-87,206
543,3755,46,-87,215
553,3774,44,-87,218
563,3795,38,-87,224
573,3316,29,-87,233
582,3760,26,-87,237
593,3772,20,-87,243
603,3735,13,-88,250
613,3792,6,-88,258
622,3751,-5,-88,269
633,3788,-16,-88,280
643,3772,-25,-88,289
653,3749,-30,-88,295
663,3350,-36,-88,300
673,3754,-37,-88,302
683,3776,-45,-88,311
693,3681,-53,-88,318
703,3760,-54,-88,320
713,3689,-66,-88,331
723,3739,-72,-88,338
733,3200,-78,-87,343
743,3796,-84,-87,350
753,3748,-88,-87,353
763,3190,-90,-87,356
773,3256,-92,-87,358
783,3764,-93,-86,358
793,3636,-91,-86,356
803,3181,-93,-87,358
813,3791,-90,-87,355
823,3673,-86,-87,350
832,3761,-92,-87,356
843,3747,-93,-87,358
853,3763,-94,-87,358
863,3548,-98,-87,2
872,3665,-94,-87,359
883,3464,-92,-87,357
893,3756,-92,-87,356
903,3778,-86,-87,350
913,3676,-90,-87,354
923,3754,-88,-87,352
933,3762,-80,-87,343
943,3755,-83,-88,346
953,3381,-77,-88,340
963,3763,-68,-88,331
973,3771,-71,-88,334
983,3751,-63,-88,326
993,3746,-56,-88,318
1003,3767,-56,-88,319
1013,3767,-43,-88,305
1023,3751,-36,-88,298
1033,3737,-32,-88,293
1043,3170,-23,-88,284
1053,3739,-21,-89,282
1063,3788,-21,-89,281
1073,3767,-10,-89,270
1082,3734,2,-89,257
1093,3783,-5,-90,264
1103,3787,-19,-90,278
1113,3729,-170,-90,69
1122,3639,180,-89,80
1133,3776,170,-89,89
1143,3641,169,-88,90
1153,3764,168,-88,91
1163,3727,165,-88,93
1173,3656,166,-88,92
1183,3533,174,-89,83
1193,3753,-177,-88,74
1203,3184,-173,-88,69
1213,3360,-164,-88,60
1223,3776,-163,-88,59
1233,3767,-163,-87,59
1243,3177,-162,-88,57
1253,3751,-159,-87,54
1263,3760,-156,-88,50
1273,3773,-154,-88,48
1283,3197,-152,-87,47
1293,3256,-151,-87,46
1303,3673,-148,-87,43
1313,3760,-144,-86,39
1323,3772,-137,-86,32
1332,3766,-137,-86,32
1343,3755,-133,-86,28
1353,3390,-130,-85,25
1363,3792,-130,-85,25
1372,3788,-124,-85,19
1383,3744,-122,-84,18
1393,3747,-120,-84,16
1403,3787,-116,-84,12
1413,3343,-116,-83,12
1423,3752,-113,-82,9
1433,3752,-114,-82,10
1443,3728,-113,-82,10
1453,3172,-111,-81,8
1463,3776,-113,-80,10
1473,3177,-112,-79,9
1483,3759,-111,-79,8
1493,3775,-111,-78,8
1503,3714,-109,-78,6
1513,3766,-110,-77,7
1523,3749,-109,-77,7
1533,3717,-108,-76,5
1543,3265,-108,-76,6
1553,3166,-107,-75,5
1563,3572,-107,-75,5
1573,3738,-106,-74,4
1582,3243,-105,-74,4
1593,3772,-106,-74,5
1603,3750,-106,-73,6
1613,3741,-107,-73,6
1622,3740,-107,-73,7
1633,3287,-107,-73,6
1643,3690,-108,-73,7
1653,3630,-110,-74,7
1663,3648,-110,-74,7
1673,3748,-110,-74,8
1683,3751,-111,-74,8
1693,3747,-112,-75,9
1703,3744,-113,-75,9
1713,3769,-114,-76,9
1723,3093,-116,-77,9
1733,3765,-117,-78,10
1743,3764,-119,-78,11
1753,3774,-122,-79,13
1763,3765,-124,-80,14
1773,3792,-126,-81,16
1783,3768,-128,-82,18
1793,3772,-133,-83,21
1803,3184,-140,-84,27
1813,3764,-147,-84,34
1823,3768,-154,-85,40
1832,3759,-163,-85,49
1843,3775,-176,-86,62
1853,3759,174,-86,71
1863,3445,165,-85,80
1872,3753,158,-85,86
1883,3225,150,-85,93
1893,3788,142,-85,101
1903,3743,137,-84,106
1913,3761,131,-84,111
1923,3555,129,-83,113
1933,3770,125,-83,117
1943,3768,123,-82,118
1953,3487,121,-82,121
1963,3738,119,-81,122
1973,3706,118,-81,123
1983,3770,117,-81,124
1993,3275,116,-80,124
2003,3454,114,-80,126
2013,3769,114,-80,127
2023,3208,114,-80,127
2033,3783,114,-79,127
2043,3748,114,-79,126
2053,3585,114,-79,126
2063,3794,115,-79,126
2073,3780,115,-79,125
2082,3751,115,-79,126
2093,3735,116,-79,125
2103,3743,117,-79,125
2113,3792,119,-79,123
2122,3688,119,-79,123
2133,3787,120,-79,122
2143,3744,122,-79,120
2153,3640,123,-80,120
2163,3789,124,-80,119
2173,3770,123,-80,120
2183,3545,124,-81,120
2193,3686,127,-81,118
2203,3768,129,-81,117
2213,3761,131,-81,114
2223,3603,131,-82,114
2233,3619,134,-82,112
2243,3757,135,-82,111
2253,3757,136,-83,111
2263,3765,137,-83,110
2273,3207,138,-83,109
2283,3670,140,-84,107
2293,3162,140,-84,107
2303,3768,146,-84,102
2313,3779,150,-85,99
2323,3769,152,-86,97
2332,3748,163,-85,88
2343,3317,172,-86,79
2353,3750,-178,-85,70
2363,3144,-169,-85,62
2372,3774,-160,-85,54
2383,3783,-150,-85,45
2393,3214,-145,-85,40
2403,3773,-141,-84,37
2413,3662,-136,-83,31
2423,3446,-133,-82,29
2433,3795,-128,-82,25
2443,3759,-123,-81,21
2453,3759,-123,-80,21
2463,3739,-122,-79,21
2473,3767,-120,-78,19
2483,3764,-119,-77,18
2493,3719,-118,-77,18
2503,3707,-115,-76,16
2513,3757,-114,-75,14
2523,3761,-113,-74,14
2533,3659,-112,-74,14
2543,3765,-112,-73,14
2553,3764,-111,-72,14
2563,3168,-110,-72,13
2573,3764,-109,-71,13
2582,3648,-109,-71,13
2593,3443,-108,-70,13
2603,3099,-108,-70,13
2613,3580,-108,-70,13
2622,3672,-109,-70,14
2633,3777,-110,-70,15
2643,3660,-110,-70,15
2653,3762,-111,-70,16
2663,3752,-111,-71,16
2673,3760,-112,-71,17
2683,3560,-113,-71,18
2693,3771,-114,-72,19
2703,3761,-115,-72,19
2713,3690,-116,-73,20
2723,3758,-118,-73,21
2733,3001,-118,-74,21
2743,3267,-120,-75,23
2753,3776,-122,-76,24
2763,3087,-123,-76,25
2773,3122,-125,-77,26
2783,3455,-127,-78,27
2793,3450,-130,-79,29
2803,3766,-133,-80,31
2813,3663,-139,-81,37
2823,3392,-143,-82,40
2832,3774,-148,-82,44
2843,3338,-152,-83,48
2853,3782,-159,-83,54
2863,3236,-168,-83,62
2872,3755,-175,-83,69
2883,3765,175,-83,78
2893,3195,168,-83,84
2903,3737,163,-83,89
2913,3711,158,-83,93
2923,3771,154,-83,97
2933,3759,149,-83,102
2943,3572,147,-82,104
2953,3596,145,-82,105
2963,3780,145,-81,105
2973,3763,145,-81,105
2983,3531,145,-81,105
2993,3115,147,-81,104
3003,3593,147,-81,104
3013,3200,148,-81,103
3023,3743,148,-81,103
3033,3705,149,-81,102
3043,3137,149,-81,102
3053,3372,151,-81,101
3063,3723,150,-81,101
3073,3788,151,-81,99
3082,3779,152,-81,99
3093,3791,152,-81,98
3103,3743,155,-81,95
3113,3792,155,-81,94
3122,3758,158,-81,91
3133,3758,158,-81,91
3143,3752,160,-81,90
3153,3791,160,-81,89
3163,3207,161,-81,88
3173,3776,162,-81,87
3183,3759,163,-81,86
3193,3157,163,-81,86
3203,3712,164,-82,86
3213,3782,165,-82,85
3223,3441,164,-82,85
3233,3622,166,-82,83
3243,3777,166,-82,83
3253,3113,168,-82,82
3263,3696,166,-82,84
3273,3608,167,-82,84
3283,3764,166,-82,84
3293,3351,167,-82,83
