Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3,1879,-60,-86,219
13,1896,-59,-86,219
23,1892,-59,-86,218
33,1894,-59,-86,219
43,1896,-60,-86,220
53,1900,-59,-86,219
62,1896,-59,-86,219
73,1912,-59,-86,219
83,1908,-59,-86,218
93,1988,-60,-86,220
102,1906,-58,-86,218
113,1900,-60,-86,220
123,1895,-60,-86,220
133,1931,-61,-86,221
143,1923,-61,-85,223
153,1919,-62,-85,224
163,1975,-64,-85,226
173,1921,-65,-85,228
183,1920,-65,-85,228
193,1999,-67,-85,230
203,2043,-68,-85,231
213,1916,-69,-85,232
223,1922,-69,-85,232
233,2035,-69,-85,232
243,1921,-69,-85,232
253,1913,-69,-85,232
263,1895,-69,-85,232
273,1940,-69,-85,232
283,2084,-69,-85,233
293,1913,-69,-85,233
303,1921,-69,-85,233
312,2133,-69,-85,233
323,1919,-68,-85,233
333,2024,-68,-85,233
343,1923,-67,-85,231
352,2720,-67,-85,232
363,2696,-66,-85,231
373,2897,-67,-85,232
383,2002,-67,-86,232
393,2698,-67,-86,233
403,2804,-67,-86,232
413,3575,-64,-86,230
423,2081,-66,-86,231
433,2152,-63,-86,228
443,3752,-65,-86,230
453,2640,-64,-86,230
463,2495,-61,-86,227
473,3578,-64,-86,230
483,3382,-70,-86,236
493,3712,-76,-86,242
503,3768,-81,-87,247
513,3769,-81,-87,247
523,3364,-80,-87,246
533,3785,-84,-86,250
543,3741,-84,-86,250
553,3251,-88,-86,254
562,3777,-85,-86,250
573,3756,-83,-86,248
583,3760,-83,-86,248
593,3747,-85,-86,249
602,3762,-84,-86,248
613,3665,-87,-86,251
623,3318,-86,-86,250
633,3741,-87,-86,250
643,3634,-89,-86,252
653,3776,-91,-85,254
663,3621,-92,-85,254
673,3423,-92,-85,254
683,3318,-93,-85,255
693,3785,-91,-85,253
703,3771,-94,-85,255
713,3759,-94,-85,256
723,3603,-92,-85,253
733,3758,-93,-85,254
743,3756,-91,-85,252
753,3772,-91,-85,252
763,3759,-91,-85,252
773,3751,-94,-85,254
783,3750,-96,-85,256
793,3628,-94,-85,254
803,3642,-96,-85,255
812,3756,-95,-86,254
823,3183,-96,-86,255
833,3768,-98,-86,256
843,3656,-97,-86,255
852,3758,-100,-86,258
863,3176,-98,-86,255
873,3750,-98,-87,255
883,3590,-99,-87,256
893,3746,-101,-87,257
903,3746,-101,-87,258
913,3730,-99,-87,255
923,3771,-98,-87,254
933,3786,-95,-87,251
943,3252,-93,-87,250
953,3636,-94,-87,251
963,3737,-87,-87,244
973,3749,-90,-87,247
983,3113,-90,-87,247
993,3332,-90,-87,247
1003,3757,-90,-87,247
1013,3176,-93,-87,251
1023,3772,-92,-88,249
1033,3760,-84,-88,241
1043,3704,-85,-88,243
1053,3726,-78,-88,236
1062,3668,-80,-88,238
1073,3737,-81,-88,239
1083,3745,-81,-88,239
1093,3779,-82,-88,241
1102,3750,-78,-88,237
1113,3596,-86,-89,246
1123,3116,-82,-89,241
1133,3752,-86,-89,246
1143,3776,-83,-89,243
1153,3151,-92,-89,252
1163,3196,-91,-90,251
1173,3772,-109,-89,269
1183,3761,-141,-89,300
1193,3768,-132,-90,292
1203,3736,-150,-90,310
1213,3399,-122,-90,282
1223,3774,-130,-89,291
1233,3774,-115,-89,276
1243,3764,-113,-89,274
1253,3662,-97,-89,257
1263,3761,-89,-89,249
1273,3772,-92,-89,252
1283,3733,-88,-89,248
1293,3706,-96,-88,256
1303,3731,-93,-88,254
1312,3775,-101,-88,262
1323,3706,-99,-88,259
1333,3752,-95,-88,256
1343,3237,-91,-88,252
1352,3763,-88,-87,249
1363,3330,-86,-87,247
1373,3768,-85,-87,247
1383,3127,-85,-87,246
1393,3757,-82,-86,244
1403,3747,-81,-86,243
1413,3766,-80,-86,241
1423,3757,-79,-86,241
1433,3760,-77,-85,239
1443,3758,-77,-85,240
1453,3768,-76,-85,239
1463,3667,-76,-84,239
1473,3774,-77,-84,240
1483,3373,-76,-84,238
1493,3757,-76,-84,239
1503,3767,-75,-83,237
1513,3217,-75,-83,237
1523,3749,-74,-83,236
1533,3747,-74,-83,236
1543,3773,-74,-83,236
1553,3757,-75,-83,236
1562,3730,-75,-83,236
1573,3779,-75,-82,235
1583,3747,-77,-82,236
1593,3684,-77,-82,237
1602,3739,-79,-82,238
1613,3765,-80,-82,239
1623,3081,-84,-82,242
1633,3171,-86,-82,244
1643,3739,-88,-82,246
1653,3759,-92,-82,250
1663,3774,-96,-82,253
1673,3772,-100,-82,257
1683,3761,-104,-82,261
1693,3202,-105,-82,261
1703,3374,-101,-82,257
1713,3749,-102,-82,257
1723,3762,-102,-82,257
1733,3766,-104,-82,259
1743,3755,-103,-83,258
1753,3766,-104,-83,258
1763,3755,-105,-83,259
1773,3760,-107,-83,260
1783,3232,-108,-83,261
1793,3085,-108,-83,261
1803,3765,-109,-84,261
1812,3756,-110,-84,262
1823,3546,-112,-84,264
1833,3177,-113,-84,265
1843,3765,-114,-85,264
1852,3501,-114,-85,265
1863,3542,-117,-85,267
1873,3759,-119,-85,269
1883,3725,-120,-85,270
1893,3764,-121,-85,270
1903,3767,-124,-85,273
1913,3686,-125,-86,274
1923,3743,-125,-86,274
1933,3726,-126,-86,275
1943,3672,-127,-86,276
1953,3741,-128,-86,277
1963,3778,-128,-86,277
1973,3747,-128,-87,277
1983,3417,-129,-87,278
1993,3778,-128,-87,277
2003,3579,-130,-87,278
2013,3762,-127,-87,276
2023,3451,-127,-87,276
2033,3740,-120,-88,269
2043,3760,-122,-88,271
2053,3107,-120,-88,269
2062,3587,-123,-88,272
2073,3162,-121,-88,270
2083,3611,-122,-88,272
2093,3735,-129,-88,279
2102,3771,-136,-89,286
2113,3363,-140,-89,290
2123,3215,-145,-89,295
2133,3758,-156,-89,307
2143,3743,-167,-89,318
2153,3783,-179,-89,330
2163,3111,169,-88,342
2173,3433,168,-88,343
2183,3091,164,-88,347
2193,3604,162,-88,349
2203,3383,161,-88,350
2213,3386,168,-88,344
2223,3768,171,-88,340
2233,3607,172,-88,339
2243,3705,172,-88,339
2253,3108,178,-88,333
2263,3756,177,-88,334
2273,3091,-179,-88,330
2283,3772,-174,-88,326
2293,3767,-167,-88,319
2303,3761,-162,-88,314
2312,3757,-160,-88,312
2323,3772,-154,-88,306
2333,3766,-148,-88,300
2343,3713,-144,-88,297
2352,3197,-141,-88,294
2363,3646,-137,-88,290
2373,3124,-129,-88,282
2383,3759,-124,-88,276
2393,3765,-121,-88,273
2403,3758,-116,-87,269
2413,3495,-112,-87,264
2423,3111,-109,-87,261
2433,3762,-105,-87,258
2443,3740,-105,-86,257
2453,3769,-101,-86,254
2463,3768,-100,-86,253
2473,3130,-96,-86,249
2483,3532,-95,-85,248
2493,3764,-91,-85,244
2503,3768,-90,-85,243
2513,3745,-87,-85,240
2523,3426,-87,-84,240
2533,3341,-86,-84,238
2543,3760,-86,-84,238
2553,3505,-85,-84,237
2562,3648,-86,-84,238
2573,3501,-87,-84,238
2583,3784,-89,-83,240
2593,3784,-90,-83,240
2602,3192,-92,-83,242
2613,3509,-95,-83,244
2623,3755,-98,-83,248
2633,3324,-102,-83,251
2643,3326,-105,-83,254
2653,3712,-108,-83,257
2663,3766,-111,-83,260
2673,3558,-116,-83,265
2683,3766,-118,-83,267
2693,3771,-117,-83,265
2703,3115,-115,-83,263
2713,3681,-114,-83,262
2723,3480,-116,-83,263
2733,3763,-116,-83,263
2743,3776,-116,-83,263
2753,3761,-117,-83,263
2763,3738,-117,-83,264
2773,3772,-119,-84,264
2783,3238,-120,-84,266
2793,3247,-121,-84,266
2803,3715,-121,-84,266
2812,3730,-124,-85,268
2823,3116,-125,-85,269
2833,3760,-126,-85,270
2843,3746,-126,-85,270
2852,3694,-129,-85,272
2863,3759,-132,-86,275
2873,3556,-134,-86,277
2883,3076,-136,-86,279
2893,3744,-137,-86,279
2903,3783,-138,-86,280
2913,3518,-139,-86,282
2923,3692,-138,-86,281
2933,3727,-138,-87,280
2943,3764,-139,-86,281
2953,3423,-140,-87,282
2963,3425,-140,-87,282
2973,3088,-139,-87,281
2983,3749,-142,-87,284
2993,3748,-140,-87,283
3003,3419,-138,-87,280
3013,3451,-133,-87,276
3023,3768,-135,-87,277
3033,3711,-133,-87,276
3043,3784,-130,-87,273
3053,3752,-131,-87,274
3062,3782,-130,-87,273
3073,3434,-134,-87,278
3083,3296,-135,-87,279
3093,3560,-140,-87,284
3102,3632,-139,-87,283
3113,3737,-143,-88,287
3123,3763,-144,-88,289
3133,3704,-151,-88,296
3143,3769,-152,-88,298
3153,3704,-155,-88,300
3163,3689,-154,-88,300
3173,3693,-158,-88,303
3183,3401,-152,-88,298
3193,3756,-152,-88,298
3203,3236,-148,-87,294
3213,3778,-148,-87,294
3223,3748,-141,-87,287
3233,3760,-137,-87,283
3243,3708,-131,-87,277
3253,3436,-133,-87,279
3263,3754,-131,-87,276
3273,3755,-128,-86,274
3283,3761,-127,-86,273
3293,3467,-122,-86,267
3303,3136,-120,-86,266
3312,3761,-117,-86,263
3323,3759,-119,-86,264
3333,3776,-118,-86,264
3343,3079,-119,-86,264
3352,3764,-115,-86,260
3363,3750,-115,-86,261
3373,3683,-114,-85,259
3383,3433,-114,-85,259
3393,3759,-112,-85,257
3403,3756,-112,-85,257
3413,3072,-110,-85,255
3423,3755,-109,-84,254
3433,3660,-106,-84,250
3443,3238,-105,-84,250
3453,3759,-103,-84,248
3463,3648,-102,-84,247
3473,3761,-99,-84,244
3483,3776,-98,-84,242
3493,3471,-96,-83,240
3503,3727,-95,-84,239
3513,3776,-93,-83,237
3523,3203,-93,-83,237
3533,3746,-92,-83,236
3543,3693,-93,-83,237
3553,3761,-94,-83,238
3562,3755,-93,-83,237
3573,3404,-95,-83,237
3583,3745,-95,-83,237
3593,3522,-98,-83,240
3602,3782,-98,-83,240
3613,3776,-103,-83,244
3623,3391,-104,-83,246
3633,3555,-109,-83,250
3643,3772,-112,-83,253
3653,3740,-118,-83,259
3663,3741,-120,-83,261
3673,3688,-121,-83,261
3683,3759,-116,-84,256
3693,3707,-114,-84,254
3703,3772,-119,-84,258
3713,3751,-120,-84,259
3723,3606,-121,-83,259
3733,3773,-121,-84,260
3743,3747,-123,-84,261
3753,3663,-124,-84,262
3763,3747,-125,-84,264
3773,3067,-126,-84,264
3783,3339,-128,-84,266
3793,3651,-129,-84,267
