Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1891,0,0,180
13,1896,0,0,180
23,1906,0,0,180
33,1885,0,-1,180
43,1880,0,-1,180
53,1888,0,-1,180
63,1906,0,-1,180
73,1891,0,-1,180
83,1899,0,-1,180
93,1887,0,-1,180
103,1894,0,-1,180
113,1903,0,-2,180
122,1935,0,-2,180
133,1883,0,-2,180
143,1909,0,-2,180
153,1933,0,-2,180
163,2094,0,-2,180
173,1897,0,-2,180
183,1890,0,-2,180
193,1920,0,-3,180
203,1975,0,-3,180
213,1882,0,-3,180
223,1891,0,-3,180
233,1927,0,-3,180
243,2072,0,-3,180
253,1910,0,-3,180
263,1896,0,-3,180
273,1890,0,-4,180
283,2004,0,-4,180
293,1912,0,-4,180
303,1908,0,-4,180
313,1993,0,-4,180
323,2336,0,-4,180
333,3293,0,-4,180
343,2247,1,-5,180
353,1947,1,-5,180
363,1224,1,-5,180
372,2545,1,-5,180
383,2459,1,-5,180
393,2029,1,-5,180
403,2119,2,-5,180
413,2831,2,-5,180
423,3798,2,-5,180
433,3743,2,-5,180
443,3645,2,-6,180
453,3525,2,-6,180
463,3746,2,-6,181
473,3754,2,-6,181
483,3758,2,-6,181
493,3734,2,-7,181
503,3775,2,-7,181
513,3761,2,-7,181
523,3765,2,-7,181
533,3766,2,-7,181
543,3792,2,-7,181
553,3764,2,-7,181
563,3732,2,-7,181
573,3772,2,-8,181
583,3418,2,-8,181
593,3784,2,-8,181
603,3770,2,-8,181
613,3747,2,-8,181
622,3768,2,-8,181
633,3774,1,-8,182
643,3624,1,-8,182
653,3740,2,-8,182
663,3783,1,-8,182
673,3693,1,-8,182
683,3778,2,-9,183
693,3760,1,-9,183
703,3696,2,-9,183
713,3777,2,-10,183
723,3780,2,-10,184
733,3207,1,-10,184
743,3691,2,-10,184
753,3731,1,-10,184
763,3775,1,-10,185
773,3736,2,-10,185
783,3355,1,-10,185
793,3225,1,-10,185
803,3440,1,-11,185
813,3776,1,-11,185
823,3741,1,-11,186
833,3760,1,-12,186
843,3754,1,-11,186
853,3779,1,-11,186
863,3761,1,-12,186
872,3740,2,-12,186
883,3438,1,-11,186
893,3768,1,-12,186
903,3768,1,-12,186
913,3743,1,-12,186
923,3753,1,-13,186
933,3753,1,-12,186
943,3408,1,-12,186
953,3759,0,-13,186
963,3747,0,-13,186
973,3198,0,-12,186
983,3775,0,-13,186
993,3743,0,-13,186
1003,3191,0,-13,186
1013,3679,0,-13,186
1023,2415,0,-14,185
1033,2515,0,-13,185
1043,1983,0,-13,185
1053,2088,0,-13,185
1063,3139,0,-14,185
1073,2912,0,-14,185
1083,1961,0,-14,184
1093,1955,-1,-14,184
