Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1884,0,0,180
13,1896,0,0,180
23,1891,0,0,180
33,1892,0,-1,180
43,1875,0,-1,180
53,1891,0,-1,180
63,1872,0,-1,180
73,1901,0,-1,180
83,1900,0,-1,180
92,1897,0,-1,180
103,1878,0,-1,180
113,1896,0,-2,180
123,1900,0,-2,180
133,1903,0,-2,180
143,1875,0,-2,180
153,1905,0,-2,180
163,1882,0,-2,180
173,1913,0,-2,180
183,1883,0,-2,180
193,1882,0,-3,180
203,1878,0,-3,180
213,1907,0,-3,180
223,1908,0,-3,180
233,1888,0,-3,180
243,1876,0,-3,180
253,1895,0,-3,180
263,1904,0,-3,180
273,1880,0,-4,180
283,1884,0,-4,180
293,1918,0,-4,180
303,2802,0,-4,180
313,1892,0,-4,180
323,2056,0,-4,180
333,1955,1,-4,180
342,1976,1,-4,180
353,3468,1,-5,180
363,2703,1,-5,180
373,2046,1,-5,180
383,1961,1,-5,180
393,3686,2,-5,180
403,3570,2,-5,180
413,3258,2,-5,180
423,1392,2,-5,180
433,3752,2,-5,180
443,3739,2,-5,180
453,3742,2,-5,180
463,3735,2,-5,180
473,3779,2,-5,180
483,3732,3,-5,181
493,3730,3,-5,181
503,3711,3,-5,181
513,3762,3,-5,181
523,3402,3,-5,181
533,3746,3,-6,181
543,3533,2,-6,181
553,3752,2,-6,181
563,3785,2,-6,181
573,3779,2,-6,181
583,3256,2,-6,181
592,3770,2,-6,181
603,3739,2,-6,181
613,3748,2,-6,181
623,3752,2,-6,181
633,3762,2,-6,181
643,3748,2,-7,181
653,3788,2,-6,181
663,3771,2,-7,181
673,3745,3,-7,182
683,3502,3,-7,182
693,3744,3,-7,182
703,3778,3,-7,182
713,3765,3,-7,182
723,3772,3,-8,182
733,3774,3,-8,182
743,3760,3,-8,182
753,3741,3,-8,183
763,3785,3,-8,183
773,3787,3,-8,183
783,3794,3,-8,183
793,3776,3,-8,183
803,3725,3,-9,184
813,3594,3,-9,184
823,3373,3,-9,184
833,3750,3,-9,184
842,3242,3,-9,184
853,3765,3,-10,184
863,3758,3,-10,184
873,3566,3,-10,184
883,3282,3,-10,185
893,3760,3,-10,185
903,3675,3,-10,185
913,3777,3,-10,185
923,3777,3,-11,185
933,3751,3,-11,185
943,3788,3,-11,185
953,3504,3,-11,185
963,3764,3,-11,185
973,3751,3,-11,185
983,3776,3,-11,185
