Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1889,-100,-84,268
13,1890,-100,-84,268
23,1901,-100,-85,268
33,1895,-100,-85,268
43,1902,-100,-85,268
53,1878,-100,-85,268
63,1893,-100,-85,268
73,1893,-100,-85,268
83,1892,-100,-85,268
93,1889,-100,-85,268
103,1934,-101,-85,269
113,1886,-99,-85,267
123,1937,-101,-86,269
133,1973,-101,-86,269
143,1876,-100,-86,268
153,1888,-101,-86,269
163,2003,-102,-86,270
173,1898,-104,-86,272
183,1891,-102,-86,270
193,1904,-103,-86,271
202,1962,-103,-86,271
213,1894,-103,-86,271
223,1901,-103,-86,271
233,1961,-103,-86,271
242,2178,-103,-86,271
253,1902,-102,-86,271
263,1897,-102,-87,271
273,2111,-102,-87,270
283,1884,-102,-87,271
293,1919,-103,-87,271
303,2041,-103,-87,271
313,1891,-103,-87,271
323,1888,-100,-87,268
333,1955,-100,-87,269
343,2330,-99,-87,268
353,1908,-100,-87,269
363,1909,-99,-87,267
373,3021,-99,-87,267
383,2403,-98,-87,266
393,1920,-96,-87,265
403,2040,-95,-87,264
413,3229,-95,-87,264
423,2456,-94,-87,262
433,1872,-92,-87,262
443,2505,-91,-87,260
452,3319,-89,-87,258
463,2635,-88,-87,258
473,2301,-89,-87,259
483,3046,-88,-87,259
492,3719,-87,-87,258
503,3065,-86,-87,257
513,2986,-85,-87,256
523,3739,-88,-87,260
533,3751,-88,-87,260
543,3455,-89,-87,260
553,3765,-84,-87,255
563,3741,-80,-87,251
573,3750,-85,-88,256
583,3743,-88,-88,258
593,3761,-82,-88,253
603,3756,-84,-88,255
613,3763,-85,-88,255
623,3766,-82,-87,253
633,3520,-82,-88,252
643,3779,-82,-87,252
653,3560,-81,-87,251
663,3713,-78,-87,248
673,3167,-77,-87,247
683,3770,-79,-87,249
693,3535,-79,-87,249
702,3772,-80,-87,249
713,3738,-79,-87,249
723,3720,-79,-87,249
733,3312,-80,-86,249
742,3774,-78,-86,248
753,3682,-78,-86,247
763,3752,-78,-86,247
773,3652,-78,-86,247
783,3761,-79,-85,248
793,3249,-79,-85,248
803,3771,-79,-85,248
813,3749,-80,-85,249
823,3180,-80,-85,249
833,3392,-80,-85,250
843,3772,-81,-85,250
853,3756,-80,-84,250
863,3167,-82,-84,251
873,3198,-81,-84,251
883,3776,-83,-84,252
893,3226,-82,-84,252
903,3768,-83,-84,252
913,3784,-84,-84,253
923,3283,-84,-84,253
933,3772,-84,-84,253
943,3296,-83,-84,252
952,3743,-84,-84,253
963,3764,-84,-84,253
973,3764,-85,-84,254
983,3164,-84,-84,253
992,3761,-85,-84,254
1003,3240,-86,-84,255
1013,3736,-86,-84,254
1023,3762,-86,-84,255
1033,3757,-86,-84,254
1043,3779,-86,-84,255
1053,3779,-86,-84,255
1063,3773,-87,-84,255
1073,3186,-86,-84,255
1083,3763,-88,-84,256
1093,3784,-87,-84,256
1103,3769,-88,-84,256
1113,3743,-88,-84,256
1123,3650,-87,-84,256
1133,3544,-88,-84,256
1143,3728,-88,-85,256
1153,3424,-89,-85,257
1163,3792,-87,-85,256
1173,3786,-89,-85,257
1183,3761,-87,-85,255
1193,3694,-88,-85,257
1202,3432,-88,-85,256
1213,3747,-89,-85,258
1223,3521,-89,-85,257
1233,3244,-90,-85,258
1242,3769,-90,-85,258
1253,3713,-90,-85,258
1263,3748,-90,-85,258
1273,3636,-89,-85,258
1283,3217,-90,-85,259
1293,3292,-90,-85,258
1303,3780,-92,-85,260
1313,3743,-90,-85,258
1323,3759,-91,-85,259
1333,3754,-90,-85,258
1343,3784,-91,-85,259
1353,3202,-91,-85,259
1363,3728,-92,-85,260
1373,3756,-92,-85,260
1383,3307,-91,-85,259
1393,3769,-92,-85,260
1403,3382,-91,-85,259
1413,3796,-91,-85,260
1423,3696,-91,-85,259
1433,3758,-91,-85,260
1443,3390,-92,-85,260
1452,3719,-90,-85,259
1463,3419,-90,-85,259
1473,3749,-90,-85,258
1483,3775,-89,-85,257
1492,3165,-88,-85,256
1503,3755,-86,-85,255
1513,3747,-88,-85,256
1523,3228,-88,-85,256
1533,3551,-88,-85,257
1543,3776,-88,-85,257
1553,3727,-89,-85,258
1563,3116,-90,-85,258
1573,3144,-89,-86,257
1583,3739,-88,-85,256
1593,3766,-89,-85,257
1603,3773,-88,-85,257
1613,3767,-89,-85,257
1623,3735,-89,-85,258
1633,3197,-88,-85,256
1643,3208,-87,-85,256
1653,3748,-88,-85,257
1663,3602,-89,-86,257
1673,3448,-87,-86,256
1683,3167,-86,-86,254
1693,3705,-86,-86,255
1702,3777,-85,-86,253
1713,3312,-85,-86,253
1723,3791,-83,-86,251
1733,3786,-84,-85,252
1742,3751,-83,-86,251
1753,3774,-84,-85,252
1763,3545,-83,-86,251
