Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1887,0,0,180
13,1902,0,0,180
23,1893,0,0,180
33,1901,0,-1,180
43,1911,0,-1,180
53,1893,0,-1,180
62,1896,0,-1,180
73,1887,0,-1,180
83,1887,0,-1,180
93,1900,0,-1,180
102,1917,0,-1,180
113,1953,0,-2,180
123,1914,0,-2,180
133,1970,0,-2,180
143,1899,0,-2,180
153,1915,0,-2,180
163,2151,0,-2,180
173,1913,0,-2,180
183,1912,0,-2,180
193,1923,0,-2,180
203,2109,0,-2,181
213,1906,0,-2,181
223,1913,0,-2,181
233,2016,1,-3,181
243,2048,1,-3,181
253,1909,1,-3,181
263,1911,1,-3,181
273,2092,2,-3,181
283,1906,2,-3,181
293,1930,3,-3,181
303,1927,3,-3,181
312,1934,3,-3,182
323,1952,3,-4,182
333,1929,4,-4,182
343,2251,4,-4,182
352,3543,5,-4,182
363,1975,5,-4,182
373,2380,6,-5,182
383,3418,7,-5,182
393,3768,7,-5,182
403,2170,8,-5,182
413,3750,8,-5,182
423,3670,8,-5,182
433,3769,9,-6,182
443,2759,9,-6,182
453,2975,10,-6,182
463,3317,10,-6,182
473,3762,10,-6,182
483,3461,11,-6,182
493,3600,11,-6,182
503,3317,11,-7,182
513,3778,12,-7,182
523,3366,12,-7,182
533,3126,12,-7,182
543,3747,12,-7,182
553,3761,12,-7,182
562,3737,12,-8,182
573,3727,11,-8,182
583,3748,11,-8,182
593,2800,10,-8,182
602,3175,10,-8,182
613,3602,9,-8,182
623,3330,9,-9,182
633,3153,9,-9,182
643,3782,9,-9,182
653,2840,8,-9,182
663,3433,8,-9,182
673,3055,8,-9,183
683,3749,8,-9,183
693,3754,8,-9,183
703,3743,7,-9,183
713,3753,7,-9,183
723,3769,6,-9,183
733,2744,6,-9,183
743,3202,6,-10,183
753,3361,6,-10,183
763,3770,6,-10,183
773,3773,5,-10,182
783,3761,5,-10,182
793,3777,5,-10,182
803,3663,5,-11,182
812,3087,4,-11,182
823,3767,4,-11,182
833,3773,4,-11,182
843,3762,4,-11,182
852,3387,4,-11,182
863,3766,3,-11,183
873,2971,3,-11,183
883,3470,3,-11,183
893,3640,3,-11,183
903,3736,3,-11,183
913,2279,3,-11,182
923,3601,3,-11,182
933,3735,3,-11,183
943,3762,3,-11,183
953,3736,3,-11,183
963,3718,3,-11,183
973,3737,3,-12,183
983,3607,3,-12,183
993,3311,3,-12,182
1003,3754,3,-12,182
1013,3261,3,-12,182
1023,3745,3,-12,182
1033,2944,3,-13,182
1043,3780,4,-13,182
1053,3135,4,-13,182
1062,3700,4,-13,182
1073,3754,4,-13,182
1083,3495,4,-13,182
1093,3598,4,-13,183
1102,3783,4,-14,183
1113,3324,5,-14,183
1123,3728,5,-14,182
1133,3521,6,-14,182
1143,3757,6,-14,182
1153,3555,6,-14,182
1163,3567,6,-14,182
1173,3334,7,-15,182
1183,3764,7,-15,182
1193,3086,7,-15,182
1203,3228,7,-15,182
1213,2700,7,-15,182
1223,3306,7,-15,182
1233,3761,7,-15,182
1243,2584,7,-15,182
1253,3112,7,-15,182
1263,3773,7,-16,182
1273,3078,7,-16,182
1283,3736,7,-16,182
1293,3776,7,-16,182
1303,3775,7,-16,183
1312,3688,7,-16,183
1323,3695,7,-17,183
1333,3333,7,-17,183
1343,3768,7,-17,183
1352,3760,7,-17,183
1363,3737,8,-17,183
1373,3346,8,-17,183
1383,3758,8,-17,183
1393,3751,8,-17,183
1403,2972,8,-18,183
1413,3578,8,-18,183
1423,3618,8,-18,183
1433,2395,8,-18,183
1443,3778,9,-18,183
1453,3392,9,-18,183
1463,3499,9,-18,183
1473,3704,9,-18,183
1483,3079,9,-18,183
1493,3777,9,-18,183
1503,2935,9,-18,183
1513,3136,9,-18,183
1523,3714,9,-19,183
1533,3535,9,-19,183
1543,3719,9,-19,183
1553,3773,9,-19,183
1562,2942,9,-20,183
1573,3133,9,-20,183
1583,2995,9,-20,183
1593,3742,8,-20,183
1602,3772,8,-20,183
1613,2786,8,-20,183
1623,3752,8,-21,184
1633,3755,7,-21,184
1643,3789,7,-21,184
1653,3095,7,-21,184
1663,3768,7,-21,184
1673,3742,6,-21,184
1683,3728,6,-22,185
1693,3734,5,-22,185
1703,3729,5,-22,185
1713,3746,5,-22,185
1723,3745,4,-22,185
1733,3638,4,-22,185
1743,3376,4,-22,185
1753,3400,3,-22,185
1763,3760,3,-23,185
1773,3198,2,-23,185
1783,3748,2,-23,185
1793,3760,2,-23,185
1803,3778,2,-23,185
1812,3760,2,-23,185
1823,3778,2,-23,185
1833,3106,2,-23,185
1843,3429,2,-24,185
1852,3584,1,-24,185
1863,3608,1,-24,185
1873,3201,1,-24,185
1883,3198,1,-24,185
1893,3759,1,-24,185
1903,3751,0,-24,185
1913,3776,0,-24,185
1923,2960,0,-24,185
1933,3332,0,-24,185
1943,3435,0,-24,185
1953,2846,0,-25,185
1963,3639,0,-25,184
1973,3728,0,-25,184
1983,3707,0,-25,184
1993,3021,0,-25,184
2003,3213,0,-25,184
2013,3557,0,-25,184
2023,3385,0,-25,184
2033,3418,0,-25,184
2043,3597,0,-25,184
2053,3781,0,-26,184
2062,3680,0,-26,184
2073,2749,0,-26,184
2083,3701,0,-26,184
2093,3734,0,-26,184
2102,3767,1,-26,184
2113,3709,1,-27,184
2123,3769,2,-27,184
2133,3759,2,-27,184
2143,3763,2,-27,184
2153,3751,3,-27,184
2163,3227,3,-27,184
2173,3767,3,-27,184
2183,3767,4,-27,184
2193,3797,4,-27,184
2203,3757,4,-28,184
2213,3211,4,-28,184
2223,3717,3,-28,184
2233,3057,3,-28,184
2243,3604,3,-28,184
2253,3609,3,-28,184
2263,3547,3,-28,184
2273,3776,3,-28,185
2283,3767,3,-29,185
2293,3761,3,-29,185
2303,2703,2,-29,185
2312,3512,2,-29,185
2323,3579,3,-29,185
2333,3761,3,-29,185
2343,2758,3,-29,185
2352,3651,3,-29,185
2363,3374,3,-29,185
2373,3749,3,-29,185
2383,3768,3,-29,186
2393,3777,3,-29,186
2403,2932,3,-29,186
2413,2842,3,-29,186
2423,3107,3,-30,186
2433,3081,3,-30,186
2443,3614,3,-30,186
2453,2999,3,-30,186
2463,3758,3,-30,186
2473,3724,3,-30,186
2483,3624,3,-30,186
2493,3743,3,-30,186
2503,3715,3,-30,186
2513,3563,4,-31,186
2523,2938,3,-31,186
2533,3675,4,-31,186
2543,3214,3,-31,185
2553,2980,3,-31,185
2562,3633,3,-32,185
2573,3569,3,-32,185
2583,3767,3,-32,185
2593,3700,2,-32,186
2602,3492,2,-32,186
2613,3063,1,-32,186
2623,3644,1,-32,186
2633,3368,0,-33,186
2643,2835,0,-33,187
2653,3787,-1,-33,187
2663,3567,-1,-33,187
2673,2638,-2,-33,187
2683,2778,-2,-33,188
2693,3728,-3,-33,188
2703,3749,-3,-33,188
2713,3474,-4,-33,188
2723,2708,-4,-34,188
2733,3753,-5,-34,188
2743,3562,-5,-34,188
2753,2696,-6,-34,188
2763,3771,-6,-34,188
2773,3259,-6,-34,189
2783,3144,-6,-34,189
2793,3743,-6,-34,189
2803,3647,-7,-34,188
2812,3787,-7,-34,188
2823,3743,-7,-35,188
2833,3768,-7,-35,188
2843,3113,-7,-35,188
2852,3751,-7,-35,188
2863,3744,-7,-35,188
2873,3750,-7,-35,188
2883,3731,-7,-35,187
2893,3019,-7,-35,187
2903,3728,-8,-35,187
2913,3716,-8,-35,187
2923,3168,-8,-35,187
2933,3705,-8,-35,187
2943,3492,-8,-36,187
2953,3787,-8,-36,187
2963,3373,-9,-36,187
2973,3741,-9,-36,187
2983,3632,-9,-36,187
2993,2784,-9,-36,187
3003,3267,-9,-36,187
3013,3087,-9,-36,187
3023,3755,-9,-36,187
3033,2881,-9,-37,186
3043,3192,-9,-37,186
3053,3229,-9,-37,186
3062,3782,-9,-37,186
3073,3733,-8,-37,186
3083,3714,-8,-37,186
3093,3789,-8,-37,186
3102,3520,-8,-38,186
3113,3781,-7,-38,186
3123,3123,-7,-38,186
3133,3725,-6,-38,186
3143,3784,-5,-38,186
3153,3063,-5,-38,186
3163,3735,-4,-38,186
3173,2983,-4,-39,185
3183,3026,-4,-39,185
3193,3780,-4,-39,185
3203,3742,-4,-39,185
3213,3457,-4,-39,185
3223,3482,-4,-39,186
3233,3743,-4,-39,186
3243,3655,-4,-39,186
3253,3648,-4,-39,186
3263,3757,-4,-40,186
3273,3362,-4,-40,186
3283,2920,-4,-40,187
3293,3483,-5,-40,187
3303,3721,-5,-40,187
3312,3730,-5,-40,187
3323,3187,-4,-40,187
3333,3767,-4,-40,187
3343,3743,-4,-40,187
3352,3666,-5,-40,187
3363,3772,-5,-40,188
3373,3772,-5,-40,188
3383,3754,-5,-40,188
3393,3689,-4,-41,188
3403,3600,-4,-41,188
3413,3750,-4,-41,188
3423,3772,-4,-41,188
3433,3781,-4,-41,188
3443,3767,-4,-41,188
3453,3735,-4,-41,188
3463,3452,-4,-41,188
3473,3757,-4,-41,188
3483,3751,-4,-41,188
3493,3767,-4,-41,187
3503,3595,-4,-41,187
3513,2725,-4,-41,187
3523,3752,-4,-42,187
3533,3503,-4,-41,187
3543,3463,-4,-42,187
3553,3779,-4,-42,187
3562,3747,-4,-42,187
3573,3728,-4,-43,187
3583,3722,-5,-43,187
3593,3584,-5,-43,187
3602,3230,-6,-43,187
3613,3250,-6,-44,188
3623,3443,-7,-44,188
3633,3759,-8,-44,188
3643,3506,-8,-44,188
3653,3725,-9,-44,188
3663,3577,-9,-44,189
3673,3400,-10,-44,189
3683,3663,-11,-44,189
3693,3608,-11,-44,190
3703,2618,-12,-44,190
3713,2796,-12,-44,190
3723,3768,-13,-44,190
3733,3696,-14,-44,190
3743,3241,-14,-44,191
3753,3287,-15,-44,191
3763,3149,-15,-44,191
3773,3504,-15,-45,191
3783,2803,-15,-45,191
3793,3474,-15,-45,191
3803,3766,-15,-45,191
3812,3612,-15,-45,191
3823,3372,-15,-45,191
3833,2467,-16,-45,191
3843,3776,-16,-46,190
3852,3761,-16,-46,190
3863,3477,-16,-46,190
3873,2640,-16,-46,190
3883,3762,-16,-46,190
3893,3768,-16,-46,190
3903,3200,-16,-46,190
3913,3206,-16,-46,190
3923,3754,-17,-46,190
3933,3751,-17,-46,189
3943,3408,-17,-46,189
3953,3769,-17,-46,189
3963,3757,-17,-46,189
3973,3635,-17,-47,189
3983,2704,-17,-47,189
3993,3775,-17,-47,189
4003,3655,-17,-47,189
4013,3303,-17,-47,188
4023,3747,-17,-47,188
4033,3760,-17,-47,188
4043,3620,-17,-47,188
4053,3754,-17,-47,188
4062,3208,-16,-48,188
4073,3169,-17,-48,188
4083,3737,-16,-48,188
4093,3527,-16,-48,188
4102,3531,-16,-48,188
4113,3565,-16,-48,188
4123,3729,-15,-48,188
4133,3498,-14,-49,188
4143,2764,-14,-49,187
4153,3574,-13,-49,187
4163,2912,-13,-49,187
4173,3723,-12,-49,187
4183,3711,-12,-49,187
4193,3760,-12,-49,187
4203,3478,-12,-49,187
4213,3489,-12,-49,187
4223,3556,-12,-50,187
4233,2896,-12,-49,187
4243,2813,-12,-50,188
4253,3199,-12,-50,188
4263,3758,-13,-50,188
4273,2675,-13,-50,188
4283,3749,-13,-50,188
4293,3768,-13,-50,188
4303,3570,-13,-50,189
4312,3759,-13,-50,189
4323,3771,-13,-50,189
4333,3624,-13,-50,189
4343,3723,-14,-50,190
4352,3088,-14,-50,190
4363,3519,-14,-50,190
4373,3768,-14,-50,190
4383,3766,-14,-50,190
4393,3408,-14,-50,190
4403,3141,-14,-50,190
4413,3639,-14,-51,190
4423,3769,-14,-50,190
4433,2887,-14,-51,191
4443,3120,-14,-51,190
4453,3507,-14,-51,190
4463,3292,-14,-51,190
4473,3734,-13,-51,190
4483,3752,-13,-51,190
4493,3758,-13,-51,190
4503,2488,-13,-51,190
4513,3440,-13,-51,190
4523,3587,-13,-51,190
4533,3543,-13,-52,190
4543,3488,-13,-52,190
4553,3711,-13,-52,190
4562,3686,-13,-52,190
4573,3400,-14,-53,190
4583,3376,-14,-53,191
4593,3782,-15,-53,191
4602,3387,-16,-53,191
4613,3047,-17,-53,191
4623,3754,-17,-54,192
4633,3708,-18,-53,192
4643,3710,-19,-53,192
4653,3261,-19,-54,193
4663,3728,-20,-53,193
4673,3612,-20,-54,193
4683,3563,-21,-54,193
4693,3443,-22,-53,193
4703,3330,-22,-54,194
4713,3461,-23,-54,194
4723,3387,-24,-54,194
4733,3701,-24,-54,194
4743,3764,-24,-54,194
4753,3755,-25,-54,194
4763,3596,-25,-54,194
4773,3727,-25,-54,195
4783,3737,-25,-54,195
4793,3598,-25,-54,195
4803,3359,-25,-54,194
4812,3753,-25,-54,194
4823,3694,-25,-55,194
4833,3696,-25,-55,194
4843,3025,-25,-55,194
4852,3569,-25,-55,194
4863,3070,-25,-55,194
4873,2890,-25,-55,194
4883,3519,-25,-55,194
4893,3758,-25,-55,194
4903,3628,-25,-55,194
4913,3305,-25,-55,194
4923,3196,-25,-56,194
4933,3366,-25,-56,194
4943,3761,-25,-56,194
4953,3755,-25,-56,194
4963,3759,-26,-56,194
4973,3712,-25,-56,194
