Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
4,1893,-120,-82,95
13,1900,-121,-82,95
23,1876,-121,-82,96
33,1873,-122,-82,96
43,1901,-122,-83,97
53,1901,-123,-83,97
63,1890,-123,-83,98
73,1993,-124,-83,98
83,1899,-124,-83,99
93,1903,-124,-83,99
103,1936,-125,-83,99
113,1948,-125,-83,100
123,1901,-125,-83,100
133,1903,-126,-83,101
142,1898,-127,-84,101
153,2036,-127,-84,102
163,2025,-128,-84,102
173,1899,-128,-84,103
183,1908,-129,-84,104
193,2116,-129,-84,104
203,1976,-130,-84,105
213,1878,-130,-84,106
223,1912,-131,-84,106
233,1869,-132,-84,107
243,1879,-133,-84,108
253,1896,-134,-85,109
263,1890,-134,-85,109
273,2082,-135,-85,110
283,1894,-135,-85,110
293,1882,-137,-85,112
303,1908,-137,-85,112
313,2173,-137,-85,112
323,2701,-138,-85,113
333,1886,-139,-85,113
343,1895,-138,-85,113
353,3440,-139,-85,114
363,3392,-140,-85,115
373,3299,-139,-85,114
383,1895,-140,-85,116
392,1931,-139,-86,115
403,3744,-139,-86,116
413,3640,-140,-86,117
423,3419,-140,-86,117
433,2009,-141,-86,118
443,3739,-140,-86,118
453,3744,-140,-86,118
463,3405,-141,-86,119
473,3015,-141,-86,120
483,3766,-143,-86,122
493,3750,-144,-86,123
503,3768,-145,-86,125
513,3759,-145,-86,125
523,3747,-144,-86,124
533,3763,-145,-86,125
543,3743,-146,-86,126
553,3744,-145,-86,126
563,3723,-146,-86,126
573,3596,-144,-86,125
583,3765,-145,-86,125
593,3742,-143,-86,124
603,3771,-142,-86,122
613,3784,-139,-86,120
623,3583,-137,-85,118
633,3732,-134,-85,115
642,3752,-135,-85,116
653,3257,-133,-85,115
663,3507,-133,-85,115
673,3771,-134,-85,116
683,3768,-133,-85,115
693,3602,-133,-85,115
703,3751,-132,-85,114
713,3766,-131,-85,114
723,3750,-132,-85,115
733,3743,-130,-85,114
743,3145,-131,-85,115
753,3794,-132,-85,115
763,3746,-129,-85,113
773,3585,-129,-84,112
783,3166,-126,-84,110
793,3741,-127,-84,111
803,3744,-127,-84,111
813,3496,-126,-84,110
823,3776,-128,-84,112
833,3759,-126,-84,110
843,3440,-126,-84,110
853,3751,-126,-84,110
863,3493,-124,-84,108
873,3772,-126,-84,110
883,3749,-124,-84,108
892,3738,-124,-84,108
903,3768,-124,-83,108
913,3770,-122,-83,106
923,3276,-123,-83,106
933,3745,-121,-83,105
943,3760,-121,-82,105
953,3648,-122,-82,106
963,3773,-121,-82,104
973,3427,-121,-82,104
983,3158,-119,-82,103
993,3750,-119,-82,102
1003,3752,-119,-81,103
1013,3696,-118,-81,102
1023,3752,-119,-81,102
1033,3755,-118,-81,101
1043,3753,-117,-81,101
1053,3329,-118,-81,101
1063,3753,-117,-81,100
1073,3743,-118,-81,101
1083,3766,-117,-81,100
1093,3746,-117,-81,100
1103,3771,-117,-81,100
1113,3202,-117,-81,99
1123,3145,-117,-81,100
1133,3708,-117,-81,99
1142,3734,-117,-81,99
1153,3357,-117,-81,100
1163,3117,-116,-81,99
1173,3725,-118,-81,100
1183,3756,-117,-81,99
1193,3755,-117,-81,100
1203,3732,-118,-81,100
1213,3748,-118,-81,100
1223,3748,-119,-81,101
1233,3736,-118,-81,100
1243,3490,-119,-81,101
1253,3779,-119,-81,101
1263,3779,-119,-81,101
1273,3117,-120,-81,101
1283,3748,-119,-81,101
1293,3744,-121,-81,102
1303,3719,-120,-81,101
1313,3784,-120,-81,101
1323,3619,-121,-81,102
1333,3779,-120,-81,101
1343,3741,-121,-81,102
1353,3749,-120,-81,101
1363,3482,-121,-81,102
1373,3769,-122,-81,102
1383,3607,-121,-81,101
1392,3780,-122,-81,102
1403,3775,-121,-81,101
1413,3743,-122,-81,102
1423,3750,-121,-81,101
1433,3763,-121,-81,101
1443,3663,-122,-81,101
1453,3779,-121,-81,101
1463,3140,-122,-81,101
1473,3777,-121,-81,100
1483,3767,-122,-81,101
1493,3751,-122,-81,101
1503,3655,-121,-81,100
1513,3751,-122,-81,101
1523,3759,-121,-81,100
1533,3789,-122,-81,101
1543,3164,-121,-81,99
1553,3740,-122,-81,100
1563,3257,-121,-81,100
1573,3758,-121,-81,100
1583,3782,-122,-81,100
1593,3760,-121,-81,99
1603,3745,-122,-81,100
1613,3767,-121,-81,99
1623,3770,-122,-81,100
1633,3110,-122,-81,99
1642,3417,-121,-81,99
1653,3776,-121,-81,99
1663,3774,-121,-81,99
1673,3759,-122,-81,100
1683,3545,-122,-81,99
1693,3742,-123,-81,100
1703,3745,-122,-81,99
1713,3760,-122,-81,99
1723,3745,-123,-81,100
1733,3742,-122,-81,99
1743,3753,-123,-81,100
1753,3776,-122,-81,99
1763,3754,-123,-81,100
1773,3752,-122,-81,99
1783,3671,-123,-81,99
1793,3794,-123,-81,100
1803,3761,-123,-81,99
1813,3221,-123,-81,100
1823,3740,-123,-81,99
1833,3756,-123,-81,100
1843,3748,-122,-81,99
1853,3740,-123,-81,99
1863,3731,-124,-81,100
1873,3743,-123,-81,99
1883,3631,-125,-81,101
1892,3759,-124,-81,100
1903,3200,-125,-81,101
1913,3748,-125,-81,100
1923,3768,-125,-81,101
1933,3255,-125,-81,101
1943,3149,-125,-81,100
1953,3078,-126,-81,101
1963,3769,-125,-81,100
1973,3757,-126,-81,101
1983,3355,-125,-81,100
1993,3751,-125,-81,100
2003,3135,-125,-81,100
2013,3791,-126,-81,101
2023,3778,-125,-81,100
2033,3463,-126,-81,101
2043,3776,-126,-81,101
2053,3158,-125,-81,100
2063,3736,-126,-81,101
2073,3729,-125,-81,100
2083,3714,-126,-81,101
2093,3753,-126,-81,100
2103,3737,-127,-81,101
2113,3772,-127,-81,101
2123,3727,-126,-81,101
2133,3774,-127,-81,101
2142,3758,-126,-81,100
2153,3197,-127,-81,101
2163,3741,-126,-81,101
2173,3334,-127,-81,101
2183,3135,-127,-81,101
2193,3321,-127,-81,101
2203,3501,-127,-81,101
2213,3741,-127,-81,101
2223,3147,-127,-81,101
2233,3777,-126,-81,100
2243,3088,-127,-81,101
2253,3463,-126,-81,100
2263,3751,-127,-81,101
2273,3110,-127,-81,100
2283,3762,-127,-81,100
2293,3775,-127,-81,100
2303,3130,-127,-81,101
2313,3752,-127,-81,100
2323,3784,-126,-81,100
2333,3584,-127,-81,100
2343,3684,-126,-81,99
2353,3338,-126,-81,100
2363,3169,-126,-81,99
2373,3761,-127,-81,100
2383,3762,-126,-81,99
2392,3759,-127,-81,99
2403,3091,-126,-81,99
2413,3646,-127,-81,100
2423,3745,-127,-81,99
2433,3758,-127,-81,99
2443,3206,-127,-81,99
2453,3415,-126,-81,99
2463,3108,-127,-81,99
2473,3312,-126,-81,98
2483,3743,-127,-81,99
2493,3744,-126,-81,98
2503,3760,-127,-81,99
2513,3752,-126,-81,98
2523,3752,-126,-81,98
2533,3768,-126,-81,98
2543,3245,-126,-81,98
2553,3756,-126,-81,97
2563,3448,-125,-81,97
2573,3478,-125,-81,97
2583,3715,-125,-81,97
2593,3304,-126,-81,97
2603,3743,-125,-81,96
2613,3731,-126,-81,97
2623,3735,-125,-81,97
2633,3556,-126,-81,97
2642,3463,-125,-81,96
2653,3721,-125,-81,97
2663,3435,-125,-81,96
2673,3084,-125,-81,96
2683,3749,-124,-81,96
2693,3415,-124,-81,95
2703,3768,-125,-81,96
2713,3788,-124,-81,95
2723,3784,-124,-81,95
2733,3760,-123,-81,95
2743,3667,-124,-81,96
2753,3288,-124,-81,95
2763,3646,-124,-81,95
2773,3745,-123,-81,94
2783,3743,-124,-81,95
2793,3291,-123,-81,94
2803,3779,-124,-82,94
2813,3737,-124,-82,94
2823,3735,-123,-82,94
2833,3268,-125,-82,95
2843,3751,-125,-82,95
2853,3772,-125,-82,96
2863,3675,-125,-82,95
2873,3747,-125,-82,95
2883,3727,-125,-82,95
2892,3750,-124,-81,94
2903,3784,-123,-82,93
2913,3573,-124,-82,94
2923,3746,-124,-82,94
2933,3721,-124,-82,94
2943,3786,-123,-82,93
2953,3746,-123,-82,93
2963,3756,-123,-82,93
2973,3418,-122,-82,92
2983,3766,-122,-81,92
2993,3111,-122,-82,91
3003,3735,-122,-81,91
3013,3728,-122,-82,91
3023,3777,-123,-81,92
3033,3360,-122,-81,92
3043,3642,-122,-81,91
3053,3764,-122,-81,91
3063,3107,-123,-81,92
3073,3763,-123,-81,92
3083,3779,-123,-81,92
3093,3751,-123,-81,93
3103,3447,-123,-81,93
3113,3774,-124,-81,93
3123,3761,-123,-81,92
3133,3119,-124,-81,93
3142,3492,-124,-81,93
3153,3755,-124,-81,93
3163,3771,-125,-81,94
3173,3760,-125,-81,94
3183,3473,-125,-81,93
3193,3735,-125,-81,93
3203,3776,-124,-81,93
3213,3385,-124,-81,93
3223,3744,-124,-81,93
3233,3061,-124,-81,93
3243,3532,-124,-81,93
3253,3612,-125,-81,93
3263,3179,-125,-81,93
3273,3771,-125,-81,93
3283,3754,-125,-81,93
3293,3782,-125,-81,93
3303,3640,-125,-81,93
3313,3769,-125,-81,93
3323,3743,-125,-81,93
3333,3782,-125,-81,93
3343,3763,-125,-81,93
3353,3756,-125,-81,93
3363,3747,-125,-81,93
3373,3456,-125,-81,93
3383,3553,-125,-81,94
3392,3788,-126,-81,94
3403,3380,-126,-81,94
3413,3344,-126,-81,94
3423,3068,-126,-81,94
3433,3745,-126,-81,93
3443,3727,-126,-81,94
3453,3731,-126,-81,94
3463,3760,-127,-81,94
3473,3460,-126,-81,93
3483,3644,-126,-81,93
3493,3740,-126,-81,93
3503,3780,-126,-81,93
3513,3701,-125,-81,92
3523,3735,-125,-81,92
3533,3089,-124,-81,91
3543,3779,-124,-81,91
3553,3787,-123,-81,90
3563,3784,-123,-81,90
3573,3684,-123,-81,90
3583,3138,-123,-81,90
3593,3761,-123,-81,90
