Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
3,1903,0,0,180
13,1899,0,0,180
23,1897,0,0,180
33,1885,0,-1,180
42,1899,0,-1,180
53,1904,0,-1,180
63,1889,0,-1,180
73,1881,0,-1,180
83,1928,0,-1,180
93,1902,0,-1,180
103,1908,0,-1,180
113,1908,0,-2,180
123,1895,0,-2,180
133,1906,0,-2,180
143,1912,1,-2,180
153,1916,1,-2,180
163,1975,1,-2,180
173,1912,1,-2,180
183,1920,2,-3,180
193,1923,2,-3,180
203,2210,2,-3,180
213,1915,2,-3,181
223,1949,2,-3,181
233,1955,2,-3,181
243,1884,3,-3,181
252,1897,3,-4,181
263,2079,3,-4,181
273,1926,3,-4,181
283,1922,4,-4,182
292,2037,4,-4,182
303,2361,5,-4,182
313,1925,5,-5,182
323,2041,5,-5,182
333,1950,6,-5,182
343,3160,6,-5,182
353,3143,6,-5,182
363,1966,6,-5,182
373,1984,6,-5,182
383,3310,6,-5,182
393,3420,6,-5,182
403,1999,6,-6,182
413,1959,6,-6,182
423,3285,7,-6,182
433,3728,7,-6,182
443,2288,7,-6,182
453,2639,7,-6,182
463,3761,7,-6,182
473,3376,7,-6,182
483,3710,7,-7,182
493,3742,7,-7,182
502,3697,7,-7,182
513,3755,7,-7,182
523,3778,7,-7,182
533,3784,7,-7,182
542,3683,7,-7,182
553,3742,7,-8,182
563,3769,7,-8,182
573,3711,7,-8,182
583,3738,7,-8,183
593,3776,7,-9,183
603,3763,6,-9,183
613,3739,6,-9,183
623,3663,6,-9,184
633,3786,6,-10,184
643,3532,5,-10,184
653,3780,5,-10,185
663,3782,5,-10,185
673,3161,4,-10,185
683,3740,4,-10,186
693,3780,4,-10,186
703,3768,3,-10,187
713,3768,3,-11,187
723,3759,2,-11,187
733,3767,2,-11,187
743,3771,1,-11,188
752,3762,1,-11,188
763,3728,0,-11,188
773,3464,0,-12,188
783,3783,0,-12,189
792,3775,-1,-12,189
803,3766,-1,-12,189
813,3343,-1,-12,189
823,3300,-2,-12,189
833,3776,-2,-12,189
843,3760,-3,-12,190
853,3756,-3,-12,190
863,3726,-4,-13,190
873,3684,-4,-13,190
883,3775,-5,-12,190
893,3069,-5,-12,190
903,3713,-6,-12,190
913,3761,-6,-13,190
923,3783,-7,-12,190
933,3654,-7,-13,190
943,3743,-8,-13,189
953,3749,-8,-13,189
963,3779,-9,-13,189
973,3800,-9,-13,189
983,3256,-10,-13,189
993,3477,-10,-13,189
1002,3762,-10,-13,188
1013,3267,-10,-13,188
1023,3261,-10,-13,188
1033,3621,-11,-13,188
1042,3564,-11,-13,187
1053,3767,-11,-13,187
1063,3776,-11,-13,187
1073,3679,-12,-14,186
1083,3299,-12,-14,186
1093,3762,-12,-14,186
1103,3079,-11,-14,185
1113,3752,-11,-14,185
1123,3750,-11,-14,185
1133,3775,-11,-15,184
1143,3569,-11,-15,184
1153,3771,-11,-15,184
1163,3448,-11,-15,184
1173,3728,-11,-15,183
1183,3791,-11,-15,183
1193,3663,-11,-15,183
1203,3752,-12,-15,183
1213,3672,-12,-15,183
1223,3784,-12,-15,183
1233,3553,-12,-16,183
1243,3735,-12,-16,183
1252,3761,-12,-16,183
1263,3668,-13,-16,183
1273,3767,-13,-16,184
1283,3773,-13,-16,184
1292,3742,-13,-16,184
1303,3774,-13,-16,184
1313,3764,-13,-16,185
1323,3205,-13,-16,185
1333,3752,-13,-16,185
1343,3727,-13,-17,185
1353,3762,-13,-17,186
1363,3588,-13,-17,186
1373,3762,-13,-17,186
1383,3328,-13,-17,186
1393,3215,-13,-17,186
1403,3345,-13,-17,187
1413,3768,-13,-17,187
1423,3771,-13,-17,187
1433,3762,-14,-17,187
1443,3749,-14,-17,187
1453,3767,-14,-17,187
1463,3496,-14,-17,187
1473,3760,-14,-17,187
1483,3717,-14,-17,187
1493,3279,-14,-17,187
1502,3762,-14,-17,187
1513,3759,-14,-17,187
1523,3774,-14,-17,187
1533,3772,-14,-18,187
1542,3704,-14,-18,187
1553,3752,-15,-18,187
1563,3744,-15,-18,187
1573,3697,-16,-18,188
1583,3735,-16,-18,188
1593,3752,-17,-19,188
1603,3104,-17,-19,188
1613,3708,-18,-19,189
1623,3127,-18,-20,189
1633,3652,-18,-19,189
1643,3264,-19,-19,189
1653,3764,-19,-20,189
1663,3772,-20,-20,190
1673,3770,-20,-20,190
1683,3761,-20,-20,190
1693,3714,-21,-20,190
1703,3167,-21,-20,190
1713,3768,-22,-20,190
1723,3375,-22,-20,190
1733,3778,-23,-20,190
1743,3424,-23,-20,191
1752,3739,-24,-20,191
1763,3127,-24,-20,191
1773,3766,-24,-20,191
1783,3759,-24,-21,190
1792,3327,-24,-21,190
1803,3736,-25,-21,190
1813,3757,-25,-21,190
1823,3583,-25,-21,190
1833,3594,-26,-21,190
1843,3776,-26,-21,190
1853,3668,-26,-21,190
1863,3749,-27,-21,189
1873,3726,-27,-21,189
1883,3259,-27,-22,189
1893,3741,-28,-22,189
1903,3592,-28,-22,189
1913,3776,-28,-22,189
1923,3761,-28,-22,189
1933,3764,-29,-22,189
1943,3613,-29,-22,188
1953,3775,-30,-22,188
1963,3575,-30,-23,188
1973,3767,-30,-23,188
1983,3098,-30,-23,188
1993,3644,-30,-23,188
2002,3774,-30,-23,187
2013,3743,-30,-23,187
2023,3753,-30,-24,187
2033,3764,-30,-24,187
2042,3760,-30,-24,187
2053,3773,-30,-24,186
2063,3778,-30,-24,186
2073,3752,-30,-24,186
2083,3773,-30,-25,186
2093,3744,-30,-25,186
2103,3672,-29,-25,186
2113,3763,-29,-25,185
2123,3766,-29,-26,185
2133,3776,-28,-26,185
2143,3768,-28,-26,185
2153,3762,-28,-26,185
2163,3756,-28,-27,185
2173,3772,-28,-27,184
2183,3776,-28,-27,184
2193,3768,-28,-27,184
2203,3646,-28,-27,184
2213,3695,-28,-27,184
2223,3758,-28,-27,184
2233,3771,-28,-27,184
2243,3733,-29,-27,185
2252,3631,-29,-27,185
2263,3279,-29,-28,185
2273,3772,-29,-27,185
2283,3770,-30,-28,185
2292,3048,-30,-27,185
2303,3067,-30,-28,186
2313,3767,-30,-28,186
2323,3767,-30,-28,186
2333,3039,-30,-28,186
2343,3232,-30,-28,186
2353,3766,-30,-28,187
2363,3769,-30,-28,187
2373,3032,-30,-27,187
2383,3746,-31,-28,187
2393,3722,-31,-28,187
2403,3572,-31,-28,188
2413,3760,-31,-28,188
2423,3755,-31,-27,188
2433,3767,-31,-27,188
2443,3765,-31,-27,188
2453,3438,-32,-27,188
2463,3052,-32,-27,188
2473,3770,-32,-28,189
2483,3100,-32,-28,189
2493,3764,-32,-28,189
2502,3068,-33,-28,189
2513,3762,-33,-28,189
2523,3646,-33,-28,189
2533,3779,-33,-28,189
2542,3219,-33,-28,189
2553,3094,-34,-28,189
2563,3738,-34,-28,189
2573,3772,-35,-28,189
2583,3749,-35,-28,189
2593,3015,-36,-29,190
2603,3753,-37,-29,190
2613,3007,-37,-29,190
2623,3758,-38,-29,190
2633,3071,-38,-29,191
2643,3755,-38,-29,191
2653,3057,-39,-29,191
2663,3709,-39,-29,191
2673,3749,-40,-29,191
2683,3756,-40,-29,191
2693,3765,-41,-29,191
2703,3052,-41,-29,191
2713,3763,-42,-29,191
2723,3032,-42,-29,192
2733,3595,-43,-29,192
2743,3774,-43,-29,192
2752,3071,-43,-29,192
2763,3759,-43,-29,192
2773,3761,-43,-30,192
2783,3532,-44,-30,192
2792,3760,-44,-30,191
2803,3136,-44,-30,191
2813,3761,-44,-30,191
2823,3765,-44,-31,191
2833,3769,-44,-31,191
2843,3296,-45,-31,191
2853,3765,-45,-31,191
2863,3760,-45,-31,191
2873,3511,-45,-32,191
2883,3767,-45,-32,190
2893,3768,-45,-32,190
2903,3757,-46,-32,190
2913,3730,-46,-32,190
2923,3702,-46,-32,190
2933,3761,-47,-33,190
2943,3758,-47,-33,190
2953,3765,-47,-33,190
2963,3196,-47,-33,190
2973,3748,-47,-33,190
2983,3584,-47,-33,190
2993,3663,-47,-34,190
3002,3743,-48,-34,189
3013,3770,-48,-34,189
3023,3729,-48,-34,189
3033,3733,-48,-34,189
3042,3121,-48,-34,189
3053,3652,-47,-35,189
3063,3775,-47,-35,189
3073,3740,-47,-35,189
3083,3682,-47,-35,189
3093,3766,-46,-35,189
3103,3771,-46,-35,189
3113,3765,-46,-36,189
3123,3773,-45,-36,189
3133,3788,-45,-36,189
3143,3759,-44,-36,189
3153,3759,-44,-36,189
3163,3767,-44,-36,189
3173,3769,-44,-36,188
3183,3773,-43,-36,188
3193,3671,-44,-37,189
3203,3639,-44,-36,188
3213,3679,-44,-36,188
3223,3223,-44,-36,188
3233,3764,-44,-36,189
3243,3752,-44,-36,189
3252,3232,-45,-36,189
3263,3037,-45,-36,189
3273,3770,-45,-36,189
3283,3750,-45,-36,189
3292,3190,-45,-36,189
3303,3063,-45,-36,189
3313,3772,-45,-36,189
3323,3680,-46,-36,189
3333,3331,-46,-36,190
3343,3484,-46,-36,190
3353,3754,-45,-37,190
3363,3595,-45,-37,190
3373,3771,-45,-37,190
3383,3731,-46,-37,190
3393,3047,-46,-37,190
3403,3778,-46,-37,190
3413,3054,-46,-37,190
3423,3776,-46,-37,190
3433,3392,-46,-37,190
3443,3773,-47,-37,190
3453,3617,-47,-37,190
3463,3717,-47,-37,190
3473,3783,-47,-37,190
3483,3781,-47,-37,190
3493,3127,-47,-37,190
3502,3756,-47,-37,190
3513,3793,-47,-37,190
3523,3777,-48,-37,190
3533,3152,-48,-37,190
3542,3711,-48,-37,190
3553,3760,-48,-38,190
3563,3468,-49,-38,190
3573,3774,-49,-38,190
3583,3344,-50,-38,191
3593,3762,-51,-38,191
3603,3028,-51,-38,191
3613,3688,-51,-38,191
3623,3743,-52,-38,191
3633,3708,-52,-38,191
3643,3765,-52,-38,192
3653,3609,-53,-38,192
3663,3775,-53,-38,192
3673,3224,-54,-38,192
3683,3663,-54,-38,192
3693,3777,-55,-38,192
3703,3768,-55,-37,192
3713,3770,-55,-38,192
3723,3097,-56,-38,192
3733,3629,-56,-38,192
3743,3773,-56,-38,192
3752,3333,-57,-38,193
3763,3768,-57,-38,192
3773,3768,-58,-38,193
3783,3613,-58,-38,193
3792,3775,-58,-38,192
3803,3075,-58,-38,192
3813,3629,-58,-39,192
3823,3769,-59,-39,192
3833,3770,-59,-39,192
3843,3577,-59,-39,192
3853,3729,-59,-39,192
3863,3758,-60,-39,192
3873,3591,-60,-40,192
3883,3752,-60,-40,192
3893,3757,-60,-40,191
3903,3771,-61,-40,191
3913,3319,-61,-40,191
3923,3760,-61,-40,191
3933,3774,-61,-40,191
3943,3771,-62,-41,191
