Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
59681,1909,40,-87,132
59690,1883,39,-87,133
59700,1893,39,-87,133
59710,1891,38,-87,134
59719,1884,38,-87,135
59730,1900,37,-87,135
59740,1908,36,-87,136
59750,1914,36,-87,136
59759,1906,38,-87,134
59770,1888,39,-87,133
59780,1887,38,-87,135
59790,1898,39,-87,133
59800,1910,37,-87,135
59810,2002,39,-87,133
59820,1883,38,-87,134
59830,1922,36,-87,136
59840,1921,34,-87,138
59850,1886,33,-87,139
59860,1880,33,-87,139
59870,1895,33,-87,139
59880,1903,33,-87,139
59890,1916,31,-87,141
59900,1920,35,-87,137
59910,1904,34,-87,138
59920,1907,37,-87,136
59930,2270,35,-87,137
59940,2108,37,-87,135
59950,1908,39,-87,133
59960,1895,40,-87,132
59969,1920,42,-87,130
59980,1944,41,-87,131
59990,1884,40,-87,132
60000,1875,42,-87,131
60009,1895,40,-87,132
60020,1893,42,-87,131
60030,2187,41,-87,131
60040,1915,41,-87,131
60050,1931,39,-87,133
60060,3232,38,-87,134
60070,3336,37,-87,136
60080,1930,35,-87,138
60090,1953,34,-87,139
60100,3506,32,-87,141
60110,3487,29,-87,144
60120,3605,31,-87,143
60130,3610,28,-87,145
60140,2104,25,-87,149
60150,3670,26,-87,148
60160,3664,26,-87,148
60170,3309,27,-88,147
60180,2209,29,-87,145
60190,2195,29,-87,145
60200,3346,31,-87,143
60210,3359,33,-87,140
60219,2455,35,-87,138
60230,3358,37,-87,137
60240,3192,37,-87,136
60250,3278,36,-87,137
60259,2407,35,-87,138
60270,2008,34,-87,139
60280,3356,34,-87,139
60290,3352,35,-87,138
60300,2873,35,-87,138
60310,2187,34,-87,139
60320,2599,35,-87,138
60330,2727,32,-87,140
60340,2863,33,-87,140
60350,3050,31,-87,142
60360,2820,30,-87,143
60370,3135,32,-87,141
60380,2567,29,-87,143
60390,2042,29,-87,144
60400,2816,29,-87,144
60410,3448,30,-87,143
60420,3306,30,-87,143
60430,1983,30,-87,142
60440,2016,31,-87,141
60450,2839,30,-87,142
60460,2702,32,-87,141
60469,2847,33,-87,140
60480,1974,35,-87,137
60490,3333,33,-87,139
60500,2732,35,-87,138
60509,2831,33,-87,139
60520,2400,34,-87,139
60530,2839,34,-87,138
60540,2533,34,-87,138
60550,2863,33,-87,140
60560,2661,34,-87,138
60570,1892,32,-87,140
60580,2195,34,-87,138
60590,2264,32,-87,140
60600,2724,31,-87,141
60610,2627,32,-87,140
60620,2038,32,-87,140
60630,2071,33,-87,139
60640,2912,33,-86,139
60650,1754,30,-86,142
60660,1999,32,-86,140
60670,2059,30,-86,142
60680,2632,31,-86,140
60690,2826,31,-86,141
60700,2088,31,-86,141
60710,2059,31,-86,140
60719,2335,30,-86,142
60730,2775,30,-86,141
60740,1978,30,-86,142
60750,1991,29,-86,143
60759,1985,29,-86,143
60770,3059,27,-86,145
60780,2459,27,-86,145
60790,2207,28,-86,143
60800,2921,29,-86,143
60810,2760,30,-86,142
60820,2244,28,-86,144
60830,2018,29,-86,143
60840,1998,29,-86,143
60850,3000,30,-86,142
60860,2279,28,-86,143
60870,2287,30,-86,142
60880,2212,30,-86,141
60890,3176,31,-86,141
60900,2317,30,-86,142
60910,2628,30,-86,142
60920,1967,30,-86,142
60930,3245,31,-86,141
60940,2891,31,-86,140
60950,2167,33,-86,139
60960,2051,34,-86,138
60969,1960,36,-86,136
60980,3287,34,-86,137
60990,2036,35,-86,136
61000,1989,36,-86,136
61009,1971,35,-86,137
61020,3389,34,-86,137
61030,3110,34,-86,137
61040,1992,35,-86,137
61050,1932,37,-86,135
61060,3200,38,-86,133
61070,3254,37,-86,134
61080,1984,39,-86,132
61090,2617,39,-87,133
61100,3069,37,-87,135
61110,3014,39,-87,132
61120,2989,38,-87,133
61130,2118,38,-87,133
61140,2786,39,-87,132
61150,2965,39,-87,132
61160,2930,38,-87,133
61170,2001,40,-87,131
61180,2327,39,-87,132
61190,2980,37,-87,134
61200,2945,36,-87,135
61210,2819,37,-87,134
61219,2239,36,-87,135
61230,3269,36,-87,135
61240,3223,34,-87,137
61250,2528,33,-87,138
61259,2288,32,-87,139
61270,3319,33,-86,138
61280,3078,31,-86,140
61290,2993,30,-86,141
61300,2865,31,-86,140
61310,2341,29,-86,142
61320,3476,30,-86,141
61330,2754,28,-86,143
61340,2817,28,-86,143
61350,2199,26,-86,145
61360,2272,25,-86,146
61370,3096,26,-86,146
61380,2927,25,-86,146
61390,2036,25,-85,147
61400,3327,24,-85,147
61410,3301,26,-85,146
61420,3008,24,-85,147
61430,2059,25,-85,147
61440,2656,26,-85,146
61450,2069,25,-85,147
61460,2808,25,-85,146
61469,2839,24,-85,147
61480,2683,25,-85,147
61490,2431,25,-86,147
61500,2627,26,-86,145
61509,2984,25,-86,146
61520,2552,26,-86,145
61530,2319,27,-86,145
61540,2661,26,-86,146
61550,2921,24,-86,147
61560,2584,25,-86,146
