Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
0,1912,101,-87,57
12,1926,101,-87,58
22,1920,98,-87,60
32,1914,101,-87,57
42,1917,101,-87,58
52,1936,102,-87,57
62,1921,104,-87,54
72,1925,103,-87,56
82,1928,100,-87,58
92,1936,103,-87,56
102,1966,94,-87,65
112,1903,100,-87,59
122,1908,97,-87,62
132,1959,101,-87,58
142,1987,98,-87,61
152,2050,99,-87,61
162,1903,100,-87,59
172,1934,97,-87,62
182,2055,100,-87,60
192,2006,103,-87,57
202,1918,103,-87,57
212,1954,101,-87,59
222,2054,100,-87,59
232,1912,103,-87,57
242,1931,101,-87,59
251,1922,101,-87,58
262,1990,102,-87,58
272,2068,103,-87,57
282,1923,101,-87,58
292,1935,103,-87,57
302,2067,104,-86,55
312,2439,104,-87,56
322,3064,106,-87,54
332,2044,104,-87,56
342,3081,105,-87,55
352,2204,105,-87,55
362,3554,104,-87,56
372,1907,105,-87,55
382,2086,104,-87,57
392,2808,104,-87,57
402,3680,105,-87,55
412,2084,108,-87,53
422,2821,117,-87,44
432,2284,113,-87,48
442,3761,122,-87,40
452,3258,119,-87,43
462,1997,126,-86,36
472,3266,127,-86,36
482,2967,127,-86,36
492,2608,128,-86,35
501,3217,129,-86,34
512,1995,127,-86,36
522,2704,133,-86,30
532,2206,138,-86,25
542,3319,141,-85,23
552,2374,138,-86,25
562,2356,140,-86,24
572,1936,143,-85,21
582,3152,145,-85,19
592,1988,142,-86,22
602,3332,144,-85,20
612,2583,145,-85,19
622,2839,146,-85,18
632,1952,147,-85,17
642,2026,147,-85,17
652,3365,149,-85,15
662,2914,148,-84,15
672,2029,148,-84,15
682,2111,148,-84,15
692,2086,149,-84,15
702,3287,149,-84,15
712,2409,150,-84,14
722,1992,150,-84,14
732,3387,151,-84,13
742,3295,152,-84,12
751,3331,153,-84,11
762,2544,153,-83,10
772,2596,155,-83,9
782,3211,156,-83,8
792,3258,157,-83,7
802,2484,157,-83,7
812,2303,159,-82,5
