Time [ms], Current [adc], Roll [deg], Pitch [deg], Yaw [deg]
20584,1897,91,-85,295
20593,1893,91,-85,295
20603,1912,91,-85,295
20613,1895,90,-85,295
20623,1895,90,-85,295
20633,1899,90,-85,295
20643,1918,90,-85,296
20653,1901,90,-86,296
20663,1911,90,-86,296
20673,1992,89,-86,297
20683,1895,90,-86,296
20693,1900,88,-86,298
20703,1911,94,-86,292
20713,2020,89,-86,297
20722,2019,93,-86,293
20733,1904,92,-86,293
20743,1904,91,-86,295
20753,1897,93,-86,293
20763,1916,93,-86,293
20773,1920,91,-86,294
20783,1919,93,-86,292
20793,1935,92,-87,294
20803,1935,92,-87,294
20813,1925,91,-87,295
20823,1918,91,-87,295
20833,1920,90,-87,296
20843,1948,90,-87,296
20853,1927,89,-87,297
20863,1904,88,-87,298
20873,2143,88,-87,298
20883,1975,87,-87,299
20893,1888,88,-88,297
20903,1883,86,-88,300
20913,1938,90,-88,296
20923,2103,89,-88,297
20933,1931,92,-88,293
20943,1932,91,-88,295
20953,1935,91,-88,295
20963,2916,90,-88,295
20972,2986,92,-88,294
20983,1686,93,-88,293
20993,1940,91,-88,294
21003,3581,92,-88,294
21013,3463,90,-89,296
21023,2361,93,-89,293
21033,2510,81,-89,305
21043,3151,81,-88,305
21053,2537,88,-89,298
21063,2748,76,-89,310
21073,2462,85,-89,301
21083,2075,82,-89,304
21093,2535,83,-89,303
21103,2816,80,-89,307
21113,2141,70,-89,316
21123,3502,75,-89,311
21133,3250,83,-89,303
21143,2047,91,-89,295
21153,2122,79,-89,308
21163,2439,63,-89,324
21173,3004,56,-89,330
21183,2373,50,-89,337
21193,3116,56,-89,331
21203,3027,67,-89,319
21213,3169,88,-89,299
21222,2865,97,-89,289
21233,2088,103,-89,283
21243,2118,96,-89,290
21253,2895,72,-89,314
21263,2936,46,-89,340
21273,2079,30,-89,356
21283,3222,22,-89,4
21293,3065,24,-89,2
21303,3174,28,-89,358
21313,2004,49,-89,337
21323,1785,69,-89,317
21333,2906,101,-89,285
21343,3015,123,-89,263
21353,2099,129,-89,257
21363,1905,111,-89,275
21373,2923,81,-90,305
21383,2993,44,-89,343
21393,2069,26,-89,360
21403,2307,25,-89,1
21413,2728,28,-89,359
21423,3012,33,-89,353
21433,2220,45,-89,341
21443,2401,63,-89,324
21453,2967,102,-90,285
21463,2762,138,-90,249
21472,2727,155,-90,231
21483,2657,159,-90,227
21493,2958,14,-90,12
21503,3000,2,-89,24
21513,2694,3,-89,24
21523,3025,4,-89,22
21533,3160,4,-89,22
21543,2904,4,-89,23
21553,2024,6,-89,20
21563,2498,-4,-89,30
21573,2697,-40,-90,67
21583,2880,-90,-90,117
21593,2642,-100,-90,127
21603,2649,-88,-90,114
21613,2744,-47,-89,73
21623,2900,-28,-89,54
21633,2742,-26,-89,53
21643,3122,-21,-89,48
21653,3072,-19,-89,46
21663,2959,-20,-89,47
21673,2568,-23,-89,50
21683,2500,-50,-89,76
21693,3047,-93,-90,120
21703,2612,-112,-89,139
21713,2367,-94,-89,121
21722,2354,-79,-89,105
21733,3128,-58,-89,84
21743,3144,-40,-89,67
21753,2489,-36,-89,62
21763,2044,-30,-89,57
21773,3308,-29,-89,55
21783,2650,-31,-89,58
21793,2509,-40,-89,67
21803,2569,-54,-89,81
21813,2952,-77,-89,104
21823,2811,-86,-89,113
21833,2807,-84,-89,110
21843,2026,-76,-89,102
21853,2790,-61,-89,87
21863,3016,-50,-89,77
21873,1949,-41,-89,67
21883,2284,-39,-89,65
21893,3106,-39,-89,65
21903,3245,-45,-89,71
21913,2575,-58,-89,85
21923,2051,-79,-89,106
21933,3152,-89,-89,116
21943,2408,-88,-89,115
21953,2608,-83,-89,109
21963,2403,-71,-89,98
21972,2806,-83,-89,110
21983,2894,-72,-89,98
21993,2716,-65,-89,92
22003,1997,-70,-89,96
22013,3115,-55,-89,81
22023,2979,-64,-89,91
22033,2057,-77,-89,104
22043,1696,-90,-89,116
22053,2873,-92,-89,119
22063,2296,-86,-89,113
22073,2067,-76,-89,102
22083,2127,-62,-89,89
22093,2232,-70,-89,97
22103,2630,-63,-89,90
22113,2003,-66,-89,93
22123,2014,-78,-89,105
22133,3073,-61,-89,88
22143,2014,-72,-89,99
22153,2090,-83,-89,110
22163,2718,-87,-89,114
22173,3228,-96,-89,123
22183,2241,-88,-89,115
22193,1987,-75,-89,102
22203,2884,-81,-89,107
22213,3192,-81,-89,107
22222,2643,-73,-89,100
22233,1968,-86,-89,113
22243,3043,-67,-89,93
22253,3351,-60,-89,87
22263,2784,-56,-89,82
22273,2367,-57,-89,84
22283,2630,-67,-89,94
22293,2706,-87,-89,114
22303,2975,-99,-89,126
22313,2464,-91,-89,118
22323,2814,-90,-89,116
22333,2767,-81,-89,107
22343,2860,-65,-89,92
22353,2650,-75,-89,102
22363,3070,-68,-89,95
22373,2945,-67,-89,94
22383,1986,-72,-89,99
22393,2953,-86,-89,113
22403,2960,-98,-89,125
22413,3160,-108,-89,135
22423,2270,-111,-89,138
22433,2682,-110,-89,137
22443,2671,-99,-89,125
22453,2307,-82,-89,109
22463,2151,-64,-89,91
22472,2056,-50,-89,76
22483,3219,-56,-89,82
22493,2459,-65,-89,91
22503,2408,-83,-89,110
22513,2207,-104,-89,131
22523,3079,-113,-89,140
22533,2160,-114,-89,140
22543,2640,-107,-89,134
22553,2012,-91,-89,117
22563,2946,-70,-89,97
